C,H,N,O,S,P,,mass,,PreHW1.csv,PreHW2.csv,PreHW3.csv,Initial,AvgInitial,,PosFHW7.csv,PosFHW8.csv,PosFHW9.csv,Post,AvgPost,,H/C,O/C,,m/z,DBE,DBE/C,DBE/H,DBE/O,CRAM,,AI,AI-mod,,PolyCyArom,Aromatic,HighUnsatLign,UnsatAliph-N,SatFatAcCarb,UnSatAlip+N,,KM,NKM,KMD
19,19,1,10,0,0,,420.0936186,,3288918,2619659,2093461,Yes,2667346,,0,0,0,No,0,,1,0.526315789,,420.09362,11,0.578947368,0.578947368,1.1,CRAM,,,0.423076923,,----,----,HUnSatLig,----,----,----,,420.19076,420.00000,0.19076
19,20,0,6,0,0,,343.1187112,,4087216,3565931,2529909,Yes,3394352,,0,0,0,No,0,,1.052631579,0.315789474,,343.11871,10,0.526315789,0.5,1.666666667,CRAM,,,0.4375,,----,----,HUnSatLig,----,----,----,,343.19805,343.00000,0.19805
19,21,1,8,0,0,,390.1194394,,2477504,2719531,1558143,Yes,2251726,,0,0,0,No,0,,1.105263158,0.421052632,,390.11944,10,0.526315789,0.476190476,1.25,CRAM,,,0.392857143,,----,----,HUnSatLig,----,----,----,,390.20965,390.00000,0.20965
19,21,1,9,0,0,,406.114354,,2882259,2582265,1853181,Yes,2439235,,0,0,0,No,0,,1.105263158,0.473684211,,406.11435,10,0.526315789,0.476190476,1.111111111,CRAM,,,0.37037037,,----,----,HUnSatLig,----,----,----,,406.20826,406.00000,0.20826
19,21,1,10,0,0,,422.1092686,,2850090,2596133,1820458,Yes,2422227,,0,0,0,No,0,,1.105263158,0.526315789,,422.10927,10,0.526315789,0.476190476,1,CRAM,,,0.346153846,,----,----,HUnSatLig,----,----,----,,422.20688,422.00000,0.20688
19,22,0,5,0,0,,329.1394466,,2614523,1886471,1742428,Yes,2081140.667,,0,0,0,No,0,,1.157894737,0.263157895,,329.13945,9,0.473684211,0.409090909,1.8,O,,,0.393939394,,----,----,HUnSatLig,----,----,----,,329.21556,329.00000,0.21556
19,25,3,5,0,0,,374.1721436,,4398212,4200459,2596924,Yes,3731865,,0,0,0,No,0,,1.315789474,0.263157895,,374.17214,9,0.473684211,0.36,1.8,O,,,0.37037037,,----,----,HUnSatLig,----,----,----,,374.25867,374.00000,0.25867
19,25,3,6,0,0,,390.1670582,,3746765,3856697,2972298,Yes,3525253.333,,0,0,0,No,0,,1.315789474,0.315789474,,390.16706,9,0.473684211,0.36,1.5,CRAM,,,0.346153846,,----,----,HUnSatLig,----,----,----,,390.25728,390.00000,0.25728
19,25,3,7,0,0,,406.1619728,,1828312,2365184,1817345,Yes,2003613.667,,0,0,0,No,0,,1.315789474,0.368421053,,406.16197,9,0.473684211,0.36,1.285714286,CRAM,,,0.32,,----,----,HUnSatLig,----,----,----,,406.25589,406.00000,0.25589
19,26,0,5,0,0,,333.1707466,,3689676,3079190,2320419,Yes,3029761.667,,0,0,0,No,0,,1.368421053,0.263157895,,333.17075,7,0.368421053,0.269230769,1.4,CRAM,,,0.272727273,,----,----,HUnSatLig,----,----,----,,333.24779,333.00000,0.24779
19,27,3,6,0,0,,392.1827082,,5350915,5844855,3388519,Yes,4861429.667,,0,0,0,No,0,,1.421052632,0.315789474,,392.18271,8,0.421052632,0.296296296,1.333333333,CRAM,,,0.269230769,,----,----,HUnSatLig,----,----,----,,392.27339,392.00000,0.27339
19,27,3,7,0,0,,408.1776228,,3247533,3501570,2354569,Yes,3034557.333,,0,0,0,No,0,,1.421052632,0.368421053,,408.17762,8,0.421052632,0.296296296,1.142857143,CRAM,,,0.24,,----,----,HUnSatLig,----,----,----,,408.27201,408.00000,0.27201
