Site,Core#,Treatment,Pre-Saturation Weight,Post-Saturation Weight,Water_Imbibed,Post-PoreWater_weight,Water_removed,15mb_empty,15mb_empty_extra,150mb_empty,150mb_empty_extra,500mb_empty,15mb__full,150mb_full,500mb_full,15mb_full_extra,150mb_full_extra,vol_15mb,vol_150mb,vol_500mb,TotalPoreWater_vol
DWP,9,Sat_I,321.1,467.2,146.1,424.4,,29.5,0,25.6,0,26.27,41.42,29.9,26.8,0,0,11.92,4.3,0.53,16.75
DWP,10,Sat_I,413,554.6,141.6,541,,29.12,0,25.52,25.9,25.33,39.79,63.3,35.3,0,54.6,10.67,66.48,9.97,87.12
DWP,11,Sat_II,no weight recorded,no weight recorded,,543.7,,25.6,0,25.9,26.28,25.9,32.49,65.45,27.03,0,30.31,6.89,43.58,1.13,51.6
DWP,12,Sat_II,no weight recorded,no weight recorded,,537.1,,25.6,0,26.2,25.28,25.8,29.26,63.94,27.82,0,30.35,3.66,42.81,2.02,48.49
DWP,13,Sat_II,no weight recorded,no weight recorded,,457,,25.3,0,25.7,0,26,61.4,62.5,27.96,0,has extra,36.1,36.8,1.96,74.86
DWP,14,Sat_II,no weight recorded,no weight recorded,,463.4,,25.6,26.01,25.7,0,25.3,61.07,42.17,31.32,56.15,0,65.61,16.47,6.02,88.1
DWP,15,Sat_II,no weight recorded,no weight recorded,,416.6,,26.5,26.13,25.6,0,25.5,67,27.4,26.54,65.57,0,79.94,1.8,1.04,82.78
DWP,16,Field_Moist,no weight recorded,no weight recorded,,no weight recorded,,26.8,0,25.9,0,25.8,32.57,0,0,0,0,-26.8,-25.9,0,-52.7
DWP,17,Field_Moist,no weight recorded,no weight recorded,,no weight recorded,,26.4,25.94,25.9,0,25.5,66.41,33.79,29.46,57.9,0,71.97,7.89,3.96,83.82
DWP,18,Field_Moist,no weight recorded,no weight recorded,,no weight recorded,,25.8,0,26.1,25.66,25.9,37.57,59.24,26.08,0,58.33,11.77,66.01,0.18,77.96
DWP,19,Field_Moist,no weight recorded,no weight recorded,,no weight recorded,,25.8,0,25.9,0,26.7,44.28,32.61,29.02,0,0,18.48,6.71,2.32,27.51
DWP,20,Field_Moist,no weight recorded,no weight recorded,,no weight recorded,,25.5,25.83,25.6,0,26.4,62.9,46.95,29.48,57.7,0,69.26,21.35,3.08,93.69
DWP,21,Drought,,,,,,26.55,,26,,26.61,,,,,,,,,
DWP,22,Drought,,,,,,25.5,,25.59,,25.78,,,,,,,,,
DWP,23,Drought,,,,,,25.78,,25.79,,25.61,,,,,,,,,
DWP,24,Drought,,,,,,25.46,,26.67,,25.88,,,,,,,,,
DWP,25,Drought,,,,,,25.56,,26.38,,26.03,,,,,,,,,
