DWP,CPCRW,SR
11.93788,17.2215,87.17056
15.94388,23.7897,157.35568
22.67396,34.6833,165.76828
24.51672,36.3654,166.72972
29.56428,54.3078,167.0502
34.4516,61.1163,171.93752
37.6564,86.1876,179.38868
38.21724,88.11,182.51336
39.49916,104.0499,183.95552
42.54372,104.4504,186.03864
43.18468,104.5305,186.43924
43.98588,110.1375,188.52236
44.70696,110.6982,201.98252
44.70696,110.8584,203.9054
45.02744,118.7883,204.06564
45.18768,120.3903,211.1162
45.18768,120.7908,211.5168
45.58828,125.4366,213.43968
45.82864,128.4804,215.68304
47.51116,129.0411,217.9264
52.4786,133.3665,220.24988
53.03944,137.1312,220.49024
53.03944,137.3715,221.29144
53.03944,138.6531,221.45168
54.32136,139.6143,221.9324
54.8822,144.981,222.17276
54.96232,145.3014,222.97396
56.084,146.3427,223.1342
56.96532,146.8233,223.61492
58.40748,148.8258,225.21732
59.12856,152.5104,227.62092
59.6894,154.3527,228.26188
59.76952,156.996,229.38356
62.57372,157.5567,230.18476
65.13756,160.2,230.66548
66.98032,160.3602,231.1462
67.22068,161.9622,232.90884
67.22068,162.0423,233.1492
68.9032,163.8846,236.83472
72.74896,164.0448,237.39556
74.5116,166.608,237.87628
74.5116,167.3289,238.03652
76.43448,168.6105,238.11664
76.99532,169.5717,238.51724
77.23568,169.8921,239.71904
77.47604,170.2125,240.27988
77.63628,172.1349,242.44312
79.3188,173.9772,243.5648
79.79952,174.2175,245.40756
79.87964,175.3389,248.372
80.03988,176.1399,250.375
80.03988,176.8608,251.81716
81.64228,177.9822,254.22076
84.36636,178.5429,255.50268
85.56816,178.8633,255.82316
85.80852,179.424,257.02496
85.96876,180.3852,257.1852
86.20912,181.2663,257.42556
86.68984,182.8683,257.74604
86.76996,183.3489,257.90628
87.25068,184.9509,258.54724
89.41392,184.9509,261.5918
89.57416,186.3126,261.83216
90.5356,186.4728,261.83216
90.77596,186.9534,264.07552
91.49704,188.0748,264.23576
91.57716,188.5554,265.51768
91.97776,189.3564,265.75804
93.25968,190.0773,265.91828
93.7404,190.7982,267.28032
94.46148,192.9609,267.92128
95.02232,194.7231,268.72248
96.22412,197.4465,268.72248
96.38436,198.7281,268.88272
96.78496,199.6092,269.84416
97.10544,200.3301,271.28632
97.18556,200.5704,272.408
97.7464,201.1311,274.17064
97.7464,201.6117,274.65136
97.98676,202.1724,275.2122
98.22712,202.4928,275.85316
98.38736,202.8933,278.09652
98.46748,204.4953,278.09652
98.9482,204.5754,282.26276
99.10844,207.459,283.6248
99.66928,208.0998,284.426
100.23012,208.8207,289.15308
100.31024,213.1461,291.07596
100.31024,213.3063,293.88016
101.03132,213.6267,294.8416
103.19456,214.3476,298.52712
103.3548,216.1098,300.12952
103.67528,216.6705,300.77048
104.23612,217.2312,302.77348
104.71684,217.2312,303.97528
104.79696,217.3914,304.93672
105.03732,217.3914,305.49756
105.7584,219.3138,306.13852
106.159,220.1949,306.29876
107.28068,220.4352,307.42044
108.08188,221.2362,307.90116
108.162,222.3576,308.62224
108.48248,222.678,312.30776
108.72284,222.9984,314.31076
109.68428,223.7193,316.474
110.00476,225.7218,316.63424
110.00476,226.2825,317.03484
111.20656,226.2825,317.03484
111.28668,227.0835,319.59868
111.60716,227.3238,322.96372
111.7674,227.8044,323.04384
112.00776,227.8845,323.36432
112.9692,228.0447,323.44444
113.12944,228.6855,325.36732
113.28968,228.7656,325.52756
113.7704,229.8069,326.8896
113.7704,231.6492,327.04984
113.7704,231.8895,327.53056
113.85052,232.29,328.8926
113.85052,232.9308,328.97272
114.09088,234.2124,329.37332
115.29268,234.2124,329.85404
115.29268,234.7731,330.65524
115.3728,235.494,332.65824
115.45292,235.9746,334.34076
115.45292,237.096,335.62268
115.85352,238.0572,337.46544
116.25412,238.0572,341.3112
116.5746,238.1373,341.39132
116.89508,238.2174,345.79792
117.45592,238.6179,350.36476
117.45592,239.0184,350.76536
117.7764,239.0985,351.48644
118.33724,239.1786,353.00872
119.69928,239.499,354.45088
119.93964,240.1398,359.25808
120.18,240.3801,360.21952
120.74084,241.2612,360.9406
122.42336,241.9821,361.66168
122.50348,243.9045,365.18696
122.5836,244.2249,365.26708
123.7854,245.106,365.50744
124.02576,245.4264,373.3592
124.186,245.5065,377.52544
124.26612,245.8269,383.53444
124.26612,245.9871,388.42176
124.74684,246.1473,391.06572
124.9872,246.3075,391.3862
125.7884,246.6279,392.26752
126.10888,246.7881,393.70968
126.50948,247.3488,394.591
127.15044,248.3901,395.3922
127.63116,248.6304,395.7928
127.71128,249.0309,396.27352
127.71128,249.0309,397.15484
128.192,249.912,397.71568
129.55404,249.912,398.1964
129.63416,250.2324,401.48132
129.7944,252.8757,402.04216
130.195,253.1961,404.44576
130.35524,253.5165,404.84636
130.5956,253.6767,405.64756
130.5956,254.3175,406.44876
130.83596,254.8782,408.37164
