Tension_c,CPCRW_water_measured,CPCRW_water_VG,CPCRW_water_RETC,Tension_d,DWP_water_measured,DWP_water_VG,DWP_water_RETC,Tension_s,SR_water_measured,SR_water_VG,SR_water_RETC
1.386755829,0.3772,0.300420413,0.390744445,2.937649652,0.2656,0.097041541,0.274448958,2.238721139,0.4614,0.490796171,0.482631249
1.49279441,0.3716,0.300053511,0.383474075,2.978516429,0.2595,0.096385781,0.270401307,2.642408757,0.4571,0.488074892,0.478855778
1.614358557,0.3654,0.299607622,0.3758364,3.026913428,0.2529,0.09544388,0.265648551,3.155004623,0.4527,0.48441097,0.474298275
1.753880502,0.3586,0.29906367,0.367856599,3.08318795,0.2456,0.09408262,0.26018378,3.775721909,0.448,0.479730456,0.469121911
1.892343619,0.3522,0.298491036,0.360646021,3.126079367,0.2386,0.092821182,0.256067154,4.528975799,0.4433,0.473790845,0.463308152
2.055890596,0.3458,0.297774244,0.352900719,3.176874071,0.2316,0.091039611,0.251250434,5.432503315,0.4383,0.466425512,0.456940211
2.254239212,0.3391,0.296848903,0.344450155,3.228494122,0.2244,0.08887071,0.246424374,6.45654229,0.4334,0.457919155,0.450415856
2.494594727,0.3318,0.295650023,0.335351534,3.280952931,0.2165,0.0862587,0.241594975,7.655966069,0.4284,0.447923903,0.443565455
2.773320105,0.3242,0.29416089,0.326067638,3.349654392,0.2084,0.08217037,0.235390432,9.036494737,0.4233,0.436569956,0.436555883
3.069021988,0.3173,0.292474832,0.317411209,3.411929116,0.2007,0.077794454,0.229889028,10.59253725,0.4182,0.424147379,0.429569323
3.411929116,0.3104,0.290396542,0.30859908,3.475361614,0.193,0.072712158,0.224409511,12.35947433,0.4129,0.410673182,0.422580462
3.837072455,0.303,0.287659383,0.299115694,3.548133892,0.1848,0.066217007,0.218281607,14.28893959,0.4075,0.396819996,0.415865468
4.345102242,0.295,0.284193693,0.289403551,3.639150361,0.1761,0.057419489,0.210860585,16.33051948,0.4021,0.383164732,0.409592545
4.988844875,0.2869,0.279565422,0.279007252,3.741105883,0.1672,0.047326426,0.202872872,18.66379691,0.3965,0.368780727,0.403260168
5.714786367,0.279,0.274125805,0.269184849,3.863669771,0.1584,0.035942957,0.193727087,21.1348904,0.3908,0.354869269,0.397333021
6.561452663,0.2706,0.267617812,0.259596073,3.990249024,0.1491,0.026012109,0.184800252,23.71373706,0.3851,0.341662147,0.391834374
7.691304403,0.2613,0.258872672,0.249055825,4.168693835,0.1391,0.015779612,0.17308816,26.6072506,0.3796,0.328254363,0.386339297
9.120108394,0.2515,0.248033282,0.238312929,4.395416154,0.1283,0.008091916,0.159609193,29.78516429,0.374,0.315024133,0.380969184
10.81433951,0.2417,0.235853887,0.228129427,4.666593803,0.1176,0.003636037,0.1453841,33.0369541,0.3684,0.302878132,0.376059335
12.79381304,0.2323,0.222826521,0.218609163,5.00034535,0.1071,0.001406705,0.130384089,36.89775986,0.3626,0.290006488,0.37085335
15.17050367,0.2226,0.208995738,0.209467929,5.457578611,0.0965,0.000416186,0.113591883,41.11497211,0.3563,0.277557367,0.365794048
18.36538343,0.2119,0.19328183,0.199795911,6.165950019,0.0852,7.55521E-05,0.094123406,45.49880602,0.3499,0.266095887,0.361097446
22.38721139,0.2009,0.177377159,0.190388166,7.128530301,0.074,9.91766E-06,0.076288284,49.7737085,0.3433,0.256128134,0.356970319
26.85344446,0.1905,0.163545169,0.182266199,8.016780634,0.0645,1.91614E-06,0.065346455,53.70317964,0.3366,0.247853778,0.353506467
31.91537855,0.1804,0.151358692,0.174990924,8.629785478,0.0572,6.83013E-07,0.059787949,57.80960474,0.33,0.239982966,0.350173821
37.75721909,0.1706,0.140506419,0.168295406,9.141132415,0.0521,3.05091E-07,0.056040852,62.08690342,0.3233,0.232510858,0.346971058
44.56562484,0.1613,0.130820658,0.162044969,9.705099672,0.0481,1.31956E-07,0.052629829,66.68067692,0.3165,0.225196424,0.343794566
52.48074602,0.1526,0.122248885,0.156207256,10.35142167,0.0449,5.35094E-08,0.049443756,71.12135137,0.3096,0.218730261,0.340948742
62.08690342,0.1438,0.114403846,0.150524994,11.16863248,0.0421,1.84684E-08,0.046250153,74.98942093,0.3029,0.213521005,0.338628013
73.62070975,0.1345,0.10738337,0.145078452,12.47383514,0.0395,3.93034E-09,0.042506704,78.52356346,0.2959,0.209067437,0.336622611
81.65823714,0.1253,0.103538157,0.141913482,15.17050367,0.037,2.53764E-10,0.037853353,81.84647881,0.289,0.205120524,0.334827926
85.11380382,0.1162,0.102084359,0.140677592,22.96148648,0.0345,0,0.032921879,84.72274141,0.2822,0.201876121,0.333339799
,,,,29.17427014,0.0322,0,0.031648991,86.89604293,0.2754,0.199522838,0.332252841
,,,,31.04559588,0.0298,0,0.031421351,88.7156012,0.2684,0.197613802,0.331366257
,,,,,,,,89.53647655,0.2614,0.196770081,0.330973016
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
