Site,TREATMENT_PHASE,cumCO2 flux (mgC/gSoil) s.d.,cumCO2 flux (mgC/gSoil),cumCH4 flux (mgC/gSoil) s.d.,cumCH4 flux (mgC/gSoil)
CPCRW,DROUGHT_INCUBATION,3.167857959406147,4.310170980870704,5.538052416412872e-7,8.126617956586409e-7
CPCRW,DROUGHT_PRE_INCUBATION,2.0846717400372032,2.2907798445703684,1.8828960204724339e-6,-1.1257609262248525e-6
CPCRW,DROUGHT_SATURATION,0.04151963403706511,0.08430470793386392,1.0805588751939382e-9,1.5177778715692172e-9
CPCRW,DROUGHT4C_PRE_INCUBATION,0.15320721466937065,0.7028122757590222,1.818186035191645e-7,5.07341502413146e-8
CPCRW,FIELD_MOIST_INCUBATION,21.318876908374254,15.525333431975357,5.827421381184026e-6,2.7790724924488787e-6
CPCRW,FIELD_MOIST_SATURATION,0.11616408482982024,0.0966365701098561,9.690496978856422e-9,-9.02552380625402e-9
CPCRW,IMMEDIATE_SATURATION,0.09464455173368158,0.08452196453328321,1.150719779865083e-8,6.79554619325485e-9
CPCRW,SATURATION_INCUBATION,17.119389697831593,29.486418334197328,3.855184222016165e-6,4.356120297765748e-6
CPCRW,SATURATION_SATURATION,0.058807328688559604,0.07546648096199077,1.5070345451700737e-8,2.0548775365627183e-8
DWP,DROUGHT_INCUBATION,0.10170063513359402,0.221261925213047,4.881335041153925e-7,1.0782394710648444e-6
DWP,DROUGHT_PRE_INCUBATION,1.238435892494924,3.3777220091070546,6.281274630870897e-6,5.408518518461888e-6
DWP,DROUGHT_SATURATION,1.1734951060010535e-4,4.382043737326493e-4,4.2257074233975425e-11,5.101459717297881e-10
DWP,FIELD_MOIST_INCUBATION,NA,NA,NA,NA
DWP,FIELD_MOIST_SATURATION,NA,NA,NA,NA
DWP,IMMEDIATE_SATURATION,0.04611670046933866,0.04417920661993652,3.5298271816628435e-8,2.0787471808148273e-8
DWP,SATURATION_INCUBATION,1.412419225056294,2.9201167031811606,2.593961738462352e-7,4.3670341961418465e-7
DWP,SATURATION_SATURATION,0.015881865517255456,0.032295488292229134,2.145735927771463e-10,-5.809943602651299e-10
SR,DROUGHT_INCUBATION,3.0777661661639084,2.5447685660104553,2.9439695488409447e-6,-2.4440361576348575e-6
SR,DROUGHT_PRE_INCUBATION,9.530577986255901,16.000375200693195,1.632414620335489e-5,-1.2905112223618593e-5
SR,DROUGHT_SATURATION,0.08672987726609269,0.10353275341951977,1.4065579303354279e-8,-1.7989023883818715e-8
SR,FIELD_MOIST_INCUBATION,43.51576048592907,35.56176162403992,5.158105507428436e-5,3.522060869048568e-5
SR,FIELD_MOIST_SATURATION,0.017686758434679577,0.022266916085408286,1.560879870943299e-7,8.302929864188864e-8
SR,IMMEDIATE_SATURATION,0.019284485075898018,0.04655675219842292,3.8803868984706124e-9,5.672293245886706e-9
SR,SATURATION_INCUBATION,24.84150296805184,37.18459959685513,7.379308123709907e-5,4.989582476148903e-5
SR,SATURATION_SATURATION,0.5098066940866699,0.5412350301100503,2.6548654127632523e-8,-2.699486171586721e-8
