Site,TREATMENT_PHASE,SampleID,inctime_hours,cumCO2 flux (mgC/gSoil),cumCH4 flux (mgC/gSoil)
DWP,FIELD_MOIST_SATURATION,D16,7.24,NA,NA
DWP,FIELD_MOIST_SATURATION,D17,7.24,0.04665826258867376,-7.111624376752429e-10
DWP,FIELD_MOIST_SATURATION,D18,7.24,0.012451932398542864,8.950298583626774e-10
DWP,FIELD_MOIST_SATURATION,D19,7.24,0.01262779893999532,-8.639526031273553e-10
DWP,FIELD_MOIST_SATURATION,D20,7.24,0.004537842939062996,-4.2425323793893626e-10
DWP,IMMEDIATE_SATURATION,D6,14.49,0.02812284832120812,6.638896201611692e-10
DWP,IMMEDIATE_SATURATION,D7,14.49,0.00823699708764539,1.531870424642326e-10
DWP,IMMEDIATE_SATURATION,D9,14.97,0.09617777445095603,6.154533876181942e-8
DWP,SATURATION_INCUBATION,D11,599.61,1.8982473554417114,2.426324409559136e-7
DWP,SATURATION_INCUBATION,D12,599.61,1.8559281619234367,1.1132878430711662e-7
DWP,SATURATION_INCUBATION,D13,599.61,2.1394206586571047,6.850050279494358e-7
DWP,SATURATION_INCUBATION,D14,599.61,3.6171606330537203,6.888946261849597e-7
DWP,SATURATION_INCUBATION,D15,599.61,5.08982670682983,4.5565621867349753e-7
DWP,SATURATION_SATURATION,D11,7.24,0.02077751166131989,-2.331803814610076e-10
DWP,SATURATION_SATURATION,D12,7.24,0.018778678772769848,-5.521390111040247e-10
DWP,SATURATION_SATURATION,D13,7.24,0.032234419197969835,-8.067369437357409e-10
DWP,SATURATION_SATURATION,D14,7.24,0.031083656118069413,-6.541171397937678e-10
DWP,SATURATION_SATURATION,D15,7.24,0.058603175711016676,-6.587983252311081e-10
SR,DROUGHT_INCUBATION,S10,580.29,6.78571662272873,-2.6342503600784495e-6
SR,DROUGHT_INCUBATION,S14,580.78,0.09188947616514402,-8.11451894347267e-8
SR,DROUGHT_INCUBATION,S25,580.77,0.46391434975438756,-5.286106608195458e-7
SR,DROUGHT_INCUBATION,S4,580.77,2.8375538153935596,-6.532138420206708e-6
SR,DROUGHT_PRE_INCUBATION,S10,602.64,31.038336357660395,-7.947636965430894e-6
SR,DROUGHT_PRE_INCUBATION,S14,700.47,8.310851427647295,2.9592009733849003e-6
SR,DROUGHT_PRE_INCUBATION,S25,698.43,12.88015531906385,-1.1822612212083115e-5
SR,DROUGHT_PRE_INCUBATION,S4,700.57,8.437232972834536,-7.295443904696176e-6
SR,DROUGHT_PRE_INCUBATION,S5,602.39,19.3352999262599,-4.0419069009267675e-5
SR,DROUGHT_SATURATION,S14,7.24,0.02946351621971631,-1.7776468989842874e-9
SR,DROUGHT_SATURATION,S4,7.24,0.08219458138824694,-2.6951428975020918e-8
SR,DROUGHT_SATURATION,S5,7.24,0.19894016265059605,-2.523799577745094e-8
SR,FIELD_MOIST_INCUBATION,S1,599.78,111.30280536471143,1.2235819339595537e-4
