"","Site","Suction","Treatment","N","wsoc","wsoc_mg_L","treatment","wsoc_dunnett"
"49","SR","1.5 kPa","Time Zero",4,6.025,"6.03 ± 0.57","Drought","6.03 ± 0.57 "
"50","SR","1.5 kPa","Time Zero",4,6.025,"6.03 ± 0.57","Field Moist","6.03 ± 0.57 *"
"51","SR","1.5 kPa","Time Zero",4,6.025,"6.03 ± 0.57","Saturated","6.03 ± 0.57 *"
"52","SR","1.5 kPa","Field Moist",5,18.68,"18.68 ± 2.36","Drought","18.68 ± 2.36 "
"53","SR","1.5 kPa","Field Moist",5,18.68,"18.68 ± 2.36","Field Moist","18.68 ± 2.36 *"
"54","SR","1.5 kPa","Field Moist",5,18.68,"18.68 ± 2.36","Saturated","18.68 ± 2.36 *"
"55","SR","1.5 kPa","Saturated",5,23.16,"23.16 ± 3.29","Drought","23.16 ± 3.29 "
"56","SR","1.5 kPa","Saturated",5,23.16,"23.16 ± 3.29","Field Moist","23.16 ± 3.29 *"
"57","SR","1.5 kPa","Saturated",5,23.16,"23.16 ± 3.29","Saturated","23.16 ± 3.29 *"
"58","SR","1.5 kPa","Drought",5,13.9,"13.9 ± 2.43","Drought","13.9 ± 2.43 "
"59","SR","1.5 kPa","Drought",5,13.9,"13.9 ± 2.43","Field Moist","13.9 ± 2.43 *"
"60","SR","1.5 kPa","Drought",5,13.9,"13.9 ± 2.43","Saturated","13.9 ± 2.43 *"
"61","SR","50 kPa","Time Zero",4,7.275,"7.28 ± 0.34","Drought","7.28 ± 0.34 "
"62","SR","50 kPa","Time Zero",4,7.275,"7.28 ± 0.34","Field Moist","7.28 ± 0.34 "
"63","SR","50 kPa","Time Zero",4,7.275,"7.28 ± 0.34","Saturated","7.28 ± 0.34 *"
"64","SR","50 kPa","Field Moist",5,19.82,"19.82 ± 2.93","Drought","19.82 ± 2.93 "
"65","SR","50 kPa","Field Moist",5,19.82,"19.82 ± 2.93","Field Moist","19.82 ± 2.93 "
"66","SR","50 kPa","Field Moist",5,19.82,"19.82 ± 2.93","Saturated","19.82 ± 2.93 *"
"67","SR","50 kPa","Saturated",4,24.075,"24.07 ± 2.43","Drought","24.07 ± 2.43 "
"68","SR","50 kPa","Saturated",4,24.075,"24.07 ± 2.43","Field Moist","24.07 ± 2.43 "
"69","SR","50 kPa","Saturated",4,24.075,"24.07 ± 2.43","Saturated","24.07 ± 2.43 *"
"70","SR","50 kPa","Drought",3,19.3,"19.3 ± 8.32","Drought","19.3 ± 8.32 "
"71","SR","50 kPa","Drought",3,19.3,"19.3 ± 8.32","Field Moist","19.3 ± 8.32 "
"72","SR","50 kPa","Drought",3,19.3,"19.3 ± 8.32","Saturated","19.3 ± 8.32 *"
