"pore_size_um","site","perc_freq"
"0-100","cpcrw",0.28
"100-200","cpcrw",4.65
"200-300","cpcrw",12.41
"300-400","cpcrw",14.29
"400-500","cpcrw",13.66
"500-600","cpcrw",11.03
"600-700","cpcrw",9.15
"700-800","cpcrw",7.49
"800-900","cpcrw",6.73
"900-1000","cpcrw",4.92
"1000-1100","cpcrw",4.92
"1100-1200","cpcrw",3.05
"1200-1300","cpcrw",3.12
"1300-1400","cpcrw",2.01
"1400-1500","cpcrw",2.29
"0-100","dwp",0.79
"100-200","dwp",7.72
"200-300","dwp",23.92
"300-400","dwp",19.72
"400-500","dwp",12.64
"500-600","dwp",8.63
"600-700","dwp",6.51
"700-800","dwp",5.23
"800-900","dwp",3.88
"900-1000","dwp",2.89
"1000-1100","dwp",2.13
"1100-1200","dwp",2.15
"1200-1300","dwp",1.4
"1300-1400","dwp",1.22
"1400-1500","dwp",1.16
"0-100","sr",0.27
"100-200","sr",2.99
"200-300","sr",21.47
"300-400","sr",17.93
"400-500","sr",14.4
"500-600","sr",9.24
"600-700","sr",6.79
"700-800","sr",5.16
"800-900","sr",5.16
"900-1000","sr",5.16
"1000-1100","sr",3.26
"1100-1200","sr",1.9
"1200-1300","sr",2.17
"1300-1400","sr",2.72
"1400-1500","sr",1.36
