,Site,Core,suction,vial_num,empty,full,notes
100,CPCRW,25,50 kPa,1,29.15,36.23,
101,DWP,6,1.5 kPa,1,30.09,54.64,
102,DWP,6,1.5 kPa,2,30.06,50.05,
103,DWP,6,15 kPa,1,25.84,44.3,
104,DWP,6,15 kPa,2,0,0,
105,DWP,6,50 kPa,1,25.38,28.8,
106,DWP,7,1.5 kPa,1,29.09,57.36,
107,DWP,7,1.5 kPa,2,29.6,43.54,
108,DWP,7,15 kPa,1,26.01,37.6,
109,DWP,7,15 kPa,2,0,0,
110,DWP,7,50 kPa,1,25.7,29,
111,DWP,8,1.5 kPa,1,29.53,34.04,
112,DWP,8,1.5 kPa,2,0,0,
113,DWP,8,15 kPa,1,52.03,63.8,
114,DWP,8,15 kPa,2,26.3,58,
115,DWP,8,50 kPa,1,26.42,28.7,
116,DWP,9,1.5 kPa,1,29.5,41.42,
117,DWP,9,1.5 kPa,2,0,0,
118,DWP,9,15 kPa,1,25.6,29.9,
119,DWP,9,15 kPa,2,0,0,
120,DWP,9,50 kPa,1,26.27,26.8,
121,DWP,10,1.5 kPa,1,29.12,39.79,
122,DWP,10,1.5 kPa,2,0,0,
123,DWP,10,15 kPa,1,25.52,63.3,
124,DWP,10,15 kPa,2,25.9,54.6,
125,DWP,10,50 kPa,1,25.33,35.3,
126,DWP,11,1.5 kPa,1,25.6,32.49,
127,DWP,11,1.5 kPa,2,0,0,
128,DWP,11,15 kPa,1,25.9,65.45,
129,DWP,11,15 kPa,2,26.28,30.31,
130,DWP,11,50 kPa,1,25.9,27.03,
131,DWP,12,1.5 kPa,1,25.6,29.26,
132,DWP,12,1.5 kPa,2,0,0,
133,DWP,12,15 kPa,1,26.2,63.94,
134,DWP,12,15 kPa,2,25.28,30.35,
135,DWP,12,50 kPa,1,25.8,27.82,
136,DWP,13,1.5 kPa,1,25.3,61.4,
137,DWP,13,1.5 kPa,2,0,0,
138,DWP,13,15 kPa,1,25.7,62.5,
139,DWP,13,15 kPa,2,0,has extra,
140,DWP,13,50 kPa,1,26,27.96,
141,DWP,14,1.5 kPa,1,25.6,61.07,
142,DWP,14,1.5 kPa,2,26.01,56.15,
143,DWP,14,15 kPa,1,25.7,42.17,
144,DWP,14,15 kPa,2,0,0,
145,DWP,14,50 kPa,1,25.3,31.32,
146,DWP,15,1.5 kPa,1,26.5,67,
147,DWP,15,1.5 kPa,2,26.13,65.57,
148,DWP,15,15 kPa,1,25.6,27.4,
149,DWP,15,15 kPa,2,0,0,
150,DWP,15,50 kPa,1,25.5,26.54,
151,DWP,16,1.5 kPa,1,26.8,32.57,
152,DWP,16,1.5 kPa,2,0,0,
153,DWP,16,15 kPa,1,25.9,0,
154,DWP,16,15 kPa,2,0,0,
155,DWP,16,50 kPa,1,25.8,0,
156,DWP,17,1.5 kPa,1,26.4,66.41,
157,DWP,17,1.5 kPa,2,25.94,57.9,
158,DWP,17,15 kPa,1,25.9,33.79,
159,DWP,17,15 kPa,2,0,0,
160,DWP,17,50 kPa,1,25.5,29.46,
161,DWP,18,1.5 kPa,1,25.8,37.57,
162,DWP,18,1.5 kPa,2,0,0,
163,DWP,18,15 kPa,1,26.1,59.24,
164,DWP,18,15 kPa,2,25.66,58.33,
165,DWP,18,50 kPa,1,25.9,26.08,
166,DWP,19,1.5 kPa,1,25.8,44.28,
167,DWP,19,1.5 kPa,2,0,0,
168,DWP,19,15 kPa,1,25.9,32.61,
169,DWP,19,15 kPa,2,0,0,
170,DWP,19,50 kPa,1,26.7,29.02,
171,DWP,20,1.5 kPa,1,25.5,62.9,
172,DWP,20,1.5 kPa,2,25.83,57.7,
173,DWP,20,15 kPa,1,25.6,46.95,
174,DWP,20,15 kPa,2,0,0,
175,DWP,20,50 kPa,1,26.4,29.48,
176,DWP,21,1.5 kPa,1,26.55,,
177,DWP,21,1.5 kPa,2,,,
178,DWP,21,15 kPa,1,26,NA,
179,DWP,21,15 kPa,2,NA,,
180,DWP,21,50 kPa,1,26.61,,
181,DWP,22,1.5 kPa,1,25.5,,
182,DWP,22,1.5 kPa,2,,,
183,DWP,22,15 kPa,1,25.59,NA,
184,DWP,22,15 kPa,2,NA,,
185,DWP,22,50 kPa,1,25.78,,
186,DWP,23,1.5 kPa,1,25.78,,
187,DWP,23,1.5 kPa,2,,,
188,DWP,23,15 kPa,1,25.79,NA,
189,DWP,23,15 kPa,2,NA,,
190,DWP,23,50 kPa,1,25.61,,
191,DWP,24,1.5 kPa,1,25.46,,
192,DWP,24,1.5 kPa,2,,,
193,DWP,24,15 kPa,1,26.67,NA,
194,DWP,24,15 kPa,2,NA,,
195,DWP,24,50 kPa,1,25.88,,
196,DWP,25,1.5 kPa,1,25.56,,
197,DWP,25,1.5 kPa,2,,,
198,DWP,25,15 kPa,1,26.38,NA,
199,DWP,25,15 kPa,2,NA,,
200,DWP,25,50 kPa,1,26.03,,
201,SR,1,1.5 kPa,1,28.7,53.03,
202,SR,1,1.5 kPa,2,0,0,
203,SR,1,15 kPa,1,28.92,32.87,
204,SR,1,15 kPa,2,0,0,
205,SR,1,50 kPa,1,29.05,32.66,
206,SR,2,1.5 kPa,1,28.89,42.05,
207,SR,2,1.5 kPa,2,29.74,36.57,
208,SR,2,15 kPa,1,29.02,31.64,
209,SR,2,15 kPa,2,0,0,
210,SR,2,50 kPa,1,29.46,30.17,
211,SR,3,1.5 kPa,1,29.44,49.61,
212,SR,3,1.5 kPa,2,29.16,39.51,
213,SR,3,15 kPa,1,28.82,30.88,
214,SR,3,15 kPa,2,0,0,
215,SR,3,50 kPa,1,28.81,36.63,
216,SR,4,1.5 kPa,1,29.14,50.66,
217,SR,4,1.5 kPa,2,29.5,30.61,
217,SR,4,1.5 kPa,3,29.68,50.35,
217,SR,4,1.5 kPa,4,29.29,56.76,
218,SR,4,15 kPa,1,29.32,36.56,
219,SR,4,15 kPa,2,0,0,
220,SR,4,50 kPa,1,29.21,34.09,
221,SR,5,1.5 kPa,1,28.96,46.46,
222,SR,5,1.5 kPa,2,0,0,
223,SR,5,15 kPa,1,28.77,31.39,
224,SR,5,15 kPa,2,0,0,
225,SR,5,50 kPa,1,29.25,35.86,
226,SR,7,1.5 kPa,1,28.9,45.31,
227,SR,7,1.5 kPa,2,30.02,44.58,
228,SR,7,15 kPa,1,29.19,32.39,
229,SR,7,15 kPa,2,0,0,
230,SR,7,50 kPa,1,29.15,31.65,
231,SR,9,1.5 kPa,1,37.94,37.94,
232,SR,9,1.5 kPa,2,0,0,
233,SR,9,15 kPa,1,29.73,40.74,
234,SR,9,15 kPa,2,0,0,
235,SR,9,50 kPa,1,29.51,no weight recorded,
236,SR,10,1.5 kPa,1,29.65,51.51,
237,SR,10,1.5 kPa,2,29.16,47.36,
237,SR,10,1.5 kPa,2,29.23,46.86,
238,SR,10,15 kPa,1,28.87,46.5,
239,SR,10,15 kPa,2,0,0,
240,SR,10,50 kPa,1,29.33,30.41,
241,SR,11,1.5 kPa,1,29.4,41.31,
242,SR,11,1.5 kPa,2,0,0,
243,SR,11,15 kPa,1,29.29,31.36,
244,SR,11,15 kPa,2,0,0,
245,SR,11,50 kPa,1,28.87,no weight recorded,
246,SR,13,1.5 kPa,1,28.93,37.6,
247,SR,13,1.5 kPa,2,0,0,
248,SR,13,15 kPa,1,29.48,32.66,
249,SR,13,15 kPa,2,0,0,
250,SR,13,50 kPa,1,29.02,32.62,
251,SR,14,1.5 kPa,1,29.26,52.9,
252,SR,14,1.5 kPa,2,29.03,32.47,
252,SR,14,1.5 kPa,2,28.93,50.2,
253,SR,14,15 kPa,1,29.56,35.73,
254,SR,14,15 kPa,2,0,0,
255,SR,14,50 kPa,1,29.5,31,
256,SR,15,1.5 kPa,1,29.35,51.78,
257,SR,15,1.5 kPa,2,0,0,
258,SR,15,15 kPa,1,28.94,36.9,
259,SR,15,15 kPa,2,0,0,
260,SR,15,50 kPa,1,28.8,33.09,
261,SR,16,1.5 kPa,1,29.58,44.71,
262,SR,16,1.5 kPa,2,0,0,
263,SR,16,15 kPa,1,28.72,30.42,
264,SR,16,15 kPa,2,0,0,
265,SR,16,50 kPa,1,29.5,no weight recorded,
266,SR,17,1.5 kPa,1,29.97,66.36,
267,SR,17,1.5 kPa,2,0,0,
268,SR,17,15 kPa,1,29.34,32.91,
269,SR,17,15 kPa,2,0,0,
270,SR,17,50 kPa,1,29.66,no weight recorded,
271,SR,18,1.5 kPa,1,28.98,47.44,
272,SR,18,1.5 kPa,2,29.51,41.56,
273,SR,18,15 kPa,1,29.26,49.43,
274,SR,18,15 kPa,2,0,0,
