"","SampleID","Site","Treatment","TREATMENT_PHASE","inctime_hours","DryMass_SoilOnly_g","CO2_flux_mgC_hr","cumCO2_flux_mgC_gSoil","CO2_flux_mgC_gSoil_hr"
"17","C16","CPCRW","field moist","FIELD_MOIST_INCUBATION",2.11,213.67,0.288927856308124,0.00475787297135703,0.00135221536157684
"18","C18","CPCRW","field moist","FIELD_MOIST_INCUBATION",2.12,168.51,0.167849846054872,0.00571589290612551,0.000996082404930696
"19","C20","CPCRW","field moist","FIELD_MOIST_INCUBATION",2.11,278.9,0.585150662368763,0.00682531457650682,0.0020980661970913
"20","C17","CPCRW","field moist","FIELD_MOIST_INCUBATION",2.32,209.99,4.53584649007364,0.0731680188641791,0.02160029758595
"21","C19","CPCRW","field moist","FIELD_MOIST_INCUBATION",2.32,320.73,0.121822335549181,0.00525309322123684,0.000379828315247034
"22","C16","CPCRW","field moist","FIELD_MOIST_INCUBATION",2.32,213.67,0.0692850684483454,0.00482596799814672,0.000324262032331845
"23","C18","CPCRW","field moist","FIELD_MOIST_INCUBATION",2.32,168.51,0.25360221530147,0.00601688657451489,0.00150496834194689
"24","C17","CPCRW","field moist","FIELD_MOIST_INCUBATION",2.53,209.99,1.63090149999114,0.0747989980298448,0.00776656745555092
"25","C19","CPCRW","field moist","FIELD_MOIST_INCUBATION",2.53,320.73,0.0596129940517775,0.0052921252068661,0.000185866598234582
"26","C16","CPCRW","field moist","FIELD_MOIST_INCUBATION",2.53,213.67,0.0879535607758384,0.00491241086688321,0.000411632708269005
"27","C18","CPCRW","field moist","FIELD_MOIST_INCUBATION",2.53,168.51,0.0306043612929714,0.00605502624498859,0.000181617478446213
"28","C20","CPCRW","field moist","FIELD_MOIST_INCUBATION",2.53,278.9,0.166735808911987,0.00707640471542053,0.000597833664080268
"29","C11","CPCRW","saturation","SATURATION_INCUBATION",0,150.55,10.5623451134017,0,0.0701583866715489
"30","C13","CPCRW","saturation","SATURATION_INCUBATION",0,138.96,1.87449704779036,0,0.0134894721343578
"31","C12","CPCRW","saturation","SATURATION_INCUBATION",0,232.06,3.81144426634329,0,0.0164243913916371
"32","C15","CPCRW","saturation","SATURATION_INCUBATION",0,156.34,33.8206029055655,0,0.216327254097259
"33","C17","CPCRW","field moist","FIELD_MOIST_INCUBATION",95.93,209.99,23.0224572601091,10.3147985603623,0.10963596961812
"34","C16","CPCRW","field moist","FIELD_MOIST_INCUBATION",95.91,213.67,3.68448881661588,1.61514110790246,0.0172438284111756
"35","C18","CPCRW","field moist","FIELD_MOIST_INCUBATION",95.94,168.51,3.41732827858055,1.90037960343453,0.0202796764499469
"36","C20","CPCRW","field moist","FIELD_MOIST_INCUBATION",95.96,278.9,4.60562544668329,1.54993615904894,0.0165135369189075
"37","C19","CPCRW","field moist","FIELD_MOIST_INCUBATION",96.15,320.73,4.63571323632666,1.35844110779316,0.0144536315166235
"38","C14","CPCRW","saturation","SATURATION_INCUBATION",0,233.1,0.618885059874174,0,0.00265501956187977
"39","C11","CPCRW","saturation","SATURATION_INCUBATION",0.67,150.55,2.37191254929781,0.0105558379809334,0.0157549820610947
"40","C13","CPCRW","saturation","SATURATION_INCUBATION",0.66,138.96,2.23972824083906,0.010637742076524,0.0161177910250364
"41","C12","CPCRW","saturation","SATURATION_INCUBATION",0.66,232.06,3.386868584954,0.00963256600047247,0.0145947969704128
"42","C15","CPCRW","saturation","SATURATION_INCUBATION",0.67,156.34,15.8140047871574,0.0677714161916045,0.101151367450156
"43","C17","CPCRW","field moist","FIELD_MOIST_INCUBATION",96.6,209.99,16.9229274368936,10.3687933286023,0.0805892063283661
"44","C16","CPCRW","field moist","FIELD_MOIST_INCUBATION",96.58,213.67,2.41508753115048,1.6227140411447,0.0113028854361889
"45","C18","CPCRW","field moist","FIELD_MOIST_INCUBATION",96.6,168.51,2.11541184667821,1.90866499788475,0.0125536279548882
"46","C20","CPCRW","field moist","FIELD_MOIST_INCUBATION",96.63,278.9,2.10792747491563,1.55500002211167,0.0075580045712285
"47","C19","CPCRW","field moist","FIELD_MOIST_INCUBATION",96.82,320.73,2.95146813058896,1.3646066789823,0.00920234505842596
"48","C14","CPCRW","saturation","SATURATION_INCUBATION",0.67,233.1,0.807343493962572,0.00232054972524635,0.00346350705260649
"49","C11","CPCRW","saturation","SATURATION_INCUBATION",1.33,150.55,2.0542994912082,0.0195617341230617,0.0136452971850429
"50","C13","CPCRW","saturation","SATURATION_INCUBATION",1.33,138.96,0.469404463512101,0.0129009904253518,0.00337798261019071
"51","C12","CPCRW","saturation","SATURATION_INCUBATION",1.33,232.06,1.52575444316182,0.0140377003489962,0.00657482738585635
"52","C15","CPCRW","saturation","SATURATION_INCUBATION",1.33,156.34,13.7959574496879,0.126011993886334,0.0882432995374687
"53","C17","CPCRW","field moist","FIELD_MOIST_INCUBATION",97.26,209.99,17.455168695631,10.4236550426797,0.0831238092082052
"54","C16","CPCRW","field moist","FIELD_MOIST_INCUBATION",97.24,213.67,2.03412308964181,1.62899719385292,0.00951992834577529
"55","C18","CPCRW","field moist","FIELD_MOIST_INCUBATION",97.27,168.51,1.58540167557975,1.91496859483828,0.00940835366197704
"56","C20","CPCRW","field moist","FIELD_MOIST_INCUBATION",97.29,278.9,1.88466767641943,1.55945997430398,0.00675750332169031
"57","C19","CPCRW","field moist","FIELD_MOIST_INCUBATION",97.48,320.73,2.9828601887886,1.37074482547499,0.00930022195862127
"58","C14","CPCRW","saturation","SATURATION_INCUBATION",1.33,233.1,0.761073425186381,0.00447545517622452,0.00326500825905783
"59","C20","CPCRW","field moist","FIELD_MOIST_INCUBATION",167.35,278.9,2.52560439891481,2.19389469710058,0.00905559124745361
"60","C16","CPCRW","field moist","FIELD_MOIST_INCUBATION",167.48,213.67,2.83319098803831,2.56035552679535,0.0132596573596589
"61","C17","CPCRW","field moist","FIELD_MOIST_INCUBATION",167.6,209.99,19.4568141975227,16.9410716370592,0.0926559083647921
"62","C18","CPCRW","field moist","FIELD_MOIST_INCUBATION",167.52,168.51,3.23852970103028,3.26507666852754,0.0192186202660393
"63","C19","CPCRW","field moist","FIELD_MOIST_INCUBATION",167.64,320.73,1.9906552068919,1.80620259155717,0.00620663862716895
"64","C12","CPCRW","saturation","SATURATION_INCUBATION",71.93,232.06,13.2287845661373,4.03865284457591,0.0570058802298429
"65","C15","CPCRW","saturation","SATURATION_INCUBATION",71.9,156.34,50.6015258583318,22.9669335739201,0.323663335412126
"66","C14","CPCRW","saturation","SATURATION_INCUBATION",71.55,233.1,3.40147972333336,1.02915115733182,0.0145923626054627
