"","SampleID","Site","Treatment","TREATMENT_PHASE","inctime_hours","DryMass_SoilOnly_g","CO2_flux_mgC_hr","cumCO2_flux_mgC_gSoil","CO2_flux_mgC_gSoil_hr"
"477","S24","SR","saturation","SATURATION_INCUBATION",0,127.41,15.7506253504167,0,0.123621578764749
"478","S18","SR","saturation","SATURATION_INCUBATION",0,119.84,1.35605669941836,0,0.0113155599083641
"479","S21","SR","field moist","FIELD_MOIST_INCUBATION",70.58,96.55,13.7913737586156,10.0817727590169,0.142841778960285
"480","C21","CPCRW","drought","DROUGHT_INCUBATION",145.68,225.9,0.15868743859741,0.164291096386576,0.000702467634340017
"481","S19","SR","field moist","FIELD_MOIST_INCUBATION",70.62,107.7,0.626024019683402,0.381338135257006,0.00581266499241784
"482","S1","SR","field moist","FIELD_MOIST_INCUBATION",70.75,111.5,20.3343691590581,35.0543514467715,0.182371023848055
"483","S7","SR","saturation","SATURATION_INCUBATION",0.62,126.55,6.0499659078603,0.0296402912909789,0.0478069214370628
"484","C25","CPCRW","drought","DROUGHT_INCUBATION",145.43,232.3,0.314263247666802,0.530333179799958,0.00135283361027465
"485","C23","CPCRW","drought","DROUGHT_INCUBATION",145.59,214.95,NA,0.118669729093409,NA
"486","S2","SR","saturation","SATURATION_INCUBATION",0.62,121.23,5.00130654362192,0.0255779102288673,0.041254693917528
"487","S13","SR","field moist","FIELD_MOIST_INCUBATION",71,113.62,0.226166665508747,0.160301524831284,0.00199055329615162
"488","C22","CPCRW","drought","DROUGHT_INCUBATION",146.09,216.87,0.267447095793598,0.188697342492294,0.0012332138875529
"489","S15","SR","field moist","FIELD_MOIST_INCUBATION",0.62,128.59,2.43596618373642,0.0117450737531424,0.0189436673437781
"490","C24","CPCRW","drought","DROUGHT_INCUBATION",145.97,198.71,4.78235230576142,5.48685937634905,0.0240669936377707
"491","S3","SR","saturation","SATURATION_INCUBATION",0.62,125.17,9.19539189630364,0.0455471996141907,0.0734632251841786
"492","S24","SR","saturation","SATURATION_INCUBATION",0.62,127.41,9.35714982014322,0.0455335757671203,0.0734412512372908
"493","S18","SR","saturation","SATURATION_INCUBATION",0.62,119.84,3.90959158307346,0.02022652521283,0.032623427762629
"494","S21","SR","field moist","FIELD_MOIST_INCUBATION",71.2,96.55,9.74914143977219,10.1443772923433,0.100975053752172
"495","C21","CPCRW","drought","DROUGHT_INCUBATION",146.3,225.9,0.0941409951193907,0.164549473619751,0.000416737472861402
"496","S19","SR","field moist","FIELD_MOIST_INCUBATION",71.24,107.7,0.417380462313872,0.383740882579519,0.00387539890727829
"497","S1","SR","field moist","FIELD_MOIST_INCUBATION",71.37,111.5,10.6052838541083,35.1133225318796,0.0951146534000746
"498","S7","SR","saturation","SATURATION_INCUBATION",1.25,126.55,4.23688613323,0.0507326521280781,0.0334799378366654
"499","C25","CPCRW","drought","DROUGHT_INCUBATION",146.05,232.3,1.79634793511347,0.535127565162723,0.0077328796173632
"500","C23","CPCRW","drought","DROUGHT_INCUBATION",146.22,214.95,NA,0.120161194182493,NA
"501","S2","SR","saturation","SATURATION_INCUBATION",1.25,121.23,3.8269954852271,0.0454657858016882,0.031568056464795
"502","S13","SR","field moist","FIELD_MOIST_INCUBATION",71.62,113.62,0.214658555656296,0.161472870584734,0.00188926734427298
"503","C22","CPCRW","drought","DROUGHT_INCUBATION",146.72,216.87,1.16746728178968,0.192088795378943,0.005383258550236
"504","S15","SR","field moist","FIELD_MOIST_INCUBATION",1.24,128.59,0.169393005216412,0.0125618064946789,0.00131731087344593
"505","C24","CPCRW","drought","DROUGHT_INCUBATION",146.59,198.71,3.71926984063565,5.49846396243528,0.0187170743326237
"506","S3","SR","saturation","SATURATION_INCUBATION",1.25,125.17,6.36994490481605,0.0776081190839847,0.0508903483647523
"507","S24","SR","saturation","SATURATION_INCUBATION",1.25,127.41,8.16455106238459,0.0859045605352098,0.0640809282033168
"508","S18","SR","saturation","SATURATION_INCUBATION",1.25,119.84,0.98054590409715,0.0253812641946491,0.00818212536796687
"509","S21","SR","field moist","FIELD_MOIST_INCUBATION",71.82,96.55,6.15432683317947,10.183897568227,0.0637423804575813
"510","C21","CPCRW","drought","DROUGHT_INCUBATION",146.92,225.9,NA,0.164847741175484,NA
"511","S19","SR","field moist","FIELD_MOIST_INCUBATION",72.86,107.7,0.483117738060759,0.391007834628344,0.00448577286964493
"512","S1","SR","field moist","FIELD_MOIST_INCUBATION",72.98,111.5,32.5288090184592,35.5830210298143,0.29173819747497
"513","S7","SR","saturation","SATURATION_INCUBATION",2.86,126.55,8.01566785287377,0.152709935756105,0.0633399277192712
"514","C25","CPCRW","drought","DROUGHT_INCUBATION",147.67,232.3,1.97080177646075,0.548871426023103,0.00848386472862999
"515","C23","CPCRW","drought","DROUGHT_INCUBATION",147.83,214.95,1.00279588244706,0.127672249640692,0.00466525183739038
"516","S2","SR","saturation","SATURATION_INCUBATION",2.86,121.23,7.96173342299879,0.151201913913773,0.0656746137342143
"517","S13","SR","field moist","FIELD_MOIST_INCUBATION",73.23,113.62,0.241579276413672,0.164896058712053,0.00212620380578835
"518","C22","CPCRW","drought","DROUGHT_INCUBATION",148.33,216.87,2.34996890471115,0.209534499886643,0.0108358413091306
"519","S15","SR","field moist","FIELD_MOIST_INCUBATION",2.86,128.59,NA,0.0302649727808429,NA
"520","C24","CPCRW","drought","DROUGHT_INCUBATION",148.21,198.71,7.81700523459131,5.56219275555107,0.0393387611825842
"521","S3","SR","saturation","SATURATION_INCUBATION",2.86,125.17,14.4277493839955,0.263185146392706,0.115265234353243
"522","S24","SR","saturation","SATURATION_INCUBATION",2.86,127.41,11.4795372423712,0.230964249415342,0.0900991856398336
"523","S18","SR","saturation","SATURATION_INCUBATION",2.86,119.84,3.99111432941497,0.0790002067043128,0.0333036909997911
"524","S21","SR","field moist","FIELD_MOIST_INCUBATION",73.44,96.55,10.2920428207241,10.3565864275701,0.10659806132288
"525","C21","CPCRW","drought","DROUGHT_INCUBATION",148.54,225.9,0.146651768949991,0.165899427167955,0.000649188884240776
"526","S19","SR","field moist","FIELD_MOIST_INCUBATION",73.48,107.7,0.338078037622378,0.392954059171759,0.00313907184421892
"527","S1","SR","field moist","FIELD_MOIST_INCUBATION",73.61,111.5,12.6705567052597,35.654612516131,0.1136372798678
"528","S7","SR","saturation","SATURATION_INCUBATION",3.49,126.55,5.19572805029132,0.178575670024643,0.041056721061172
"529","C25","CPCRW","drought","DROUGHT_INCUBATION",148.29,232.3,NA,0.551708927352246,NA
"530","C23","CPCRW","drought","DROUGHT_INCUBATION",148.46,214.95,NA,0.130591032757478,NA
"531","S2","SR","saturation","SATURATION_INCUBATION",3.49,121.23,3.98371979681493,0.171904243964036,0.0328608413496241
"532","S13","SR","field moist","FIELD_MOIST_INCUBATION",73.86,113.62,0.140975076669313,0.165677737098795,0.00124075934403549
"533","C22","CPCRW","drought","DROUGHT_INCUBATION",148.96,216.87,0.786539923581062,0.211819371707808,0.00362678066851599
"534","S15","SR","field moist","FIELD_MOIST_INCUBATION",3.48,128.59,1.87818549294824,0.0393206925539816,0.0146059996340947
"535","C24","CPCRW","drought","DROUGHT_INCUBATION",148.83,198.71,3.92531622980198,5.57444023208711,0.0197539944129736
"536","S3","SR","saturation","SATURATION_INCUBATION",3.49,125.17,7.84130376795461,0.302651642947882,0.0626452326272638
"537","S24","SR","saturation","SATURATION_INCUBATION",3.49,127.41,9.45055672453785,0.277694103716094,0.074174371905956
"538","S18","SR","saturation","SATURATION_INCUBATION",3.49,119.84,0.52483701039192,0.0817592797729619,0.0043794810613478
"539","S21","SR","field moist","FIELD_MOIST_INCUBATION",74.06,96.55,7.47087134876269,10.4045609509904,0.0773782635811776
"540","C21","CPCRW","drought","DROUGHT_INCUBATION",149.16,225.9,NA,0.166333951974578,NA
"541","S19","SR","field moist","FIELD_MOIST_INCUBATION",74.11,107.7,0.445705502811732,0.395561250135282,0.00413839835479788
"542","S1","SR","field moist","FIELD_MOIST_INCUBATION",74.23,111.5,12.4380664949595,35.7237748589729,0.111552165874076
"543","S7","SR","saturation","SATURATION_INCUBATION",4.11,126.55,4.12913493883737,0.19880533151875,0.0326284862808169
"544","C25","CPCRW","drought","DROUGHT_INCUBATION",148.91,232.3,0.155493574377703,0.552123933878782,0.000669365365379693
"545","C23","CPCRW","drought","DROUGHT_INCUBATION",149.08,214.95,NA,0.13344380057694,NA
"546","S2","SR","saturation","SATURATION_INCUBATION",4.11,121.23,3.85901597259122,0.191640199610383,0.0318321865263649
"547","S13","SR","field moist","FIELD_MOIST_INCUBATION",74.48,113.62,0.187224112174964,0.166699378971251,0.00164780947170361
"548","C22","CPCRW","drought","DROUGHT_INCUBATION",149.58,216.87,NA,0.214447666163715,NA
"549","S15","SR","field moist","FIELD_MOIST_INCUBATION",4.11,128.59,0.743352052332741,0.0429625915583336,0.00578079207040004
"550","C24","CPCRW","drought","DROUGHT_INCUBATION",149.46,198.71,3.88022532792148,5.58674229014453,0.0195270762816239
"551","S3","SR","saturation","SATURATION_INCUBATION",4.11,125.17,6.8203733826084,0.336434749900165,0.0544888821811009
"552","S24","SR","saturation","SATURATION_INCUBATION",4.11,127.41,7.38465433326476,0.313629161298891,0.0579597702948337
"553","S18","SR","saturation","SATURATION_INCUBATION",4.11,119.84,0.241235359815011,0.0830073265276791,0.00201297863664062
"554","S21","SR","field moist","FIELD_MOIST_INCUBATION",74.69,96.55,6.50096033705885,10.4469804746812,0.0673325772869896
"555","C21","CPCRW","drought","DROUGHT_INCUBATION",149.79,225.9,NA,0.166808554427648,NA
"556","S15","SR","field moist","FIELD_MOIST_INCUBATION",5.24,128.59,0.596682355747707,0.0482060091024266,0.00464019251689639
"557","S21","SR","field moist","FIELD_MOIST_INCUBATION",75.68,96.55,1.49417185283301,10.4623013460878,0.0154756276834076
"558","S18","SR","saturation","SATURATION_INCUBATION",5.21,119.84,7.06401228996085,0.147847225717907,0.0589453629002074
"559","S3","SR","saturation","SATURATION_INCUBATION",5.35,125.17,1.50044892075723,0.351298987830492,0.0119872886534891
"560","S24","SR","saturation","SATURATION_INCUBATION",5.38,127.41,3.73697235980643,0.350878630704386,0.0293302908704688
"561","S15","SR","field moist","FIELD_MOIST_INCUBATION",6.3,128.59,0.393823402825831,0.0514523953454889,0.00306262853119085
"562","S21","SR","field moist","FIELD_MOIST_INCUBATION",76.74,96.55,0.991035431909648,10.4731816936572,0.0102644788390435
"563","S18","SR","saturation","SATURATION_INCUBATION",6.27,119.84,4.96959561913004,0.191803929291654,0.0414685882771198
"564","S3","SR","saturation","SATURATION_INCUBATION",6.42,125.17,1.3715507306984,0.363023516725972,0.010957503640636
"565","S24","SR","saturation","SATURATION_INCUBATION",6.45,127.41,3.4650294343321,0.37997824215353,0.0271958985506012
"566","S3","SR","saturation","SATURATION_INCUBATION",71.37,125.17,9.1456575635167,5.10865313045458,0.0730658908965144
"567","S2","SR","saturation","SATURATION_INCUBATION",71.62,121.23,9.07710882753227,5.24645845372821,0.0748751037493382
"568","S24","SR","saturation","SATURATION_INCUBATION",71.42,127.41,24.3820965783387,12.8131060554701,0.191367212764608
"569","S15","SR","field moist","FIELD_MOIST_INCUBATION",71.62,128.59,5.68558643477237,2.93956582500045,0.0442148412378286
"570","S18","SR","saturation","SATURATION_INCUBATION",71.5,119.84,1.07782154014172,0.778471978886484,0.00899383795178338
"571","S21","SR","field moist","FIELD_MOIST_INCUBATION",142.08,96.55,0.722203853599577,10.961931562059,0.00748010205696092
"572","S13","SR","field moist","FIELD_MOIST_INCUBATION",142.25,113.62,0.0691373466440423,0.207937171455557,0.000608496273931018
"573","S19","SR","field moist","FIELD_MOIST_INCUBATION",142.16,107.7,3.27373499573255,2.46406325997372,0.0303967966177581
"574","S1","SR","field moist","FIELD_MOIST_INCUBATION",142.29,111.5,12.3955699494554,43.2900752245329,0.11117103093682
"575","S7","SR","saturation","SATURATION_INCUBATION",72.29,126.55,0.967167928651253,0.71987612863801,0.00764257549309564
"576","S3","SR","saturation","SATURATION_INCUBATION",72,125.17,7.48749634202118,5.14633885942696,0.059818617416483
"577","S2","SR","saturation","SATURATION_INCUBATION",72.25,121.23,6.38572558168238,5.27964336766419,0.0526744665650613
"578","S24","SR","saturation","SATURATION_INCUBATION",72.04,127.41,13.8621113784954,12.8805615852924,0.108799241648971
"579","S15","SR","field moist","FIELD_MOIST_INCUBATION",72.25,128.59,3.01121191157869,2.95431863240612,0.0234171546121681
"580","S18","SR","saturation","SATURATION_INCUBATION",72.12,119.84,0.85553836996719,0.782898162042189,0.00713900508984638
"581","S21","SR","field moist","FIELD_MOIST_INCUBATION",142.7,96.55,0.47082444124784,10.9649549815678,0.00487648307869332
"582","S13","SR","field moist","FIELD_MOIST_INCUBATION",142.87,113.62,0.126991108764619,0.208630134731688,0.00111768270343794
"583","S19","SR","field moist","FIELD_MOIST_INCUBATION",142.79,107.7,2.48349091993508,2.47859064418504,0.0230593400179673
"584","S1","SR","field moist","FIELD_MOIST_INCUBATION",142.91,111.5,8.75282557494495,43.3387456447702,0.0785006778021968
"585","S7","SR","saturation","SATURATION_INCUBATION",72.91,126.55,0.621062542617306,0.722918868870509,0.00490764553628847
"586","S3","SR","saturation","SATURATION_INCUBATION",72.62,125.17,5.2331770800922,5.17226016476896,0.0418085570032133
"587","S2","SR","saturation","SATURATION_INCUBATION",72.87,121.23,5.03495515692955,5.30539336516726,0.0415322540371983
"588","S24","SR","saturation","SATURATION_INCUBATION",72.66,127.41,13.0396802504328,12.944015017168,0.102344244960621
"589","S15","SR","field moist","FIELD_MOIST_INCUBATION",72.87,128.59,1.94599880876764,2.96370131582968,0.0151333603605851
"590","C23","CPCRW","drought","DROUGHT_INCUBATION",218.96,214.95,0.2198148017397,0.204905342077616,0.00102263224814934
"591","C22","CPCRW","drought","DROUGHT_INCUBATION",219.4,216.87,15.8757015971271,5.325534886671,0.0732037699872141
"592","C24","CPCRW","drought","DROUGHT_INCUBATION",219.26,198.71,1.2857407127292,6.03837885472859,0.00647043788802377
"593","C25","CPCRW","drought","DROUGHT_INCUBATION",219.04,232.3,4.51738267494556,1.91589512197147,0.0194463309295978
"594","C21","CPCRW","drought","DROUGHT_INCUBATION",219.52,225.9,1.48261522014108,0.624456891304307,0.00656314838486533
"595","C23","CPCRW","drought","DROUGHT_INCUBATION",219.44,214.95,0.420727586124612,0.205844859366938,0.00195732768608798
"596","C22","CPCRW","drought","DROUGHT_INCUBATION",219.88,216.87,6.07882180666382,5.33898918863623,0.0280297957608882
"597","C24","CPCRW","drought","DROUGHT_INCUBATION",219.74,198.71,0.753243613801498,6.04019837530946,0.00379066787681293
"598","C25","CPCRW","drought","DROUGHT_INCUBATION",219.52,232.3,1.0588963052273,1.91808311261508,0.00455831384084072
"599","C21","CPCRW","drought","DROUGHT_INCUBATION",220,225.9,0.34854481008004,0.625197491166363,0.00154291637928304
"600","C23","CPCRW","drought","DROUGHT_INCUBATION",219.93,214.95,0.159889615313636,0.20620934371913,0.000743845616718475
"601","C22","CPCRW","drought","DROUGHT_INCUBATION",220.37,216.87,5.09305147952327,5.35049652125469,0.0234843522825807
"602","C24","CPCRW","drought","DROUGHT_INCUBATION",220.23,198.71,0.516161923968963,6.04147118162391,0.00259756390704526
"603","C25","CPCRW","drought","DROUGHT_INCUBATION",220,232.3,0.695167924323127,1.91951953363822,0.00299254379820546
"604","C21","CPCRW","drought","DROUGHT_INCUBATION",220.48,225.9,0.184287538085523,0.625589071592574,0.000815792554606121
"605","C23","CPCRW","drought","DROUGHT_INCUBATION",220.41,214.95,0.240811916545998,0.206747095382038,0.00112031596439171
"606","C22","CPCRW","drought","DROUGHT_INCUBATION",220.85,216.87,5.55508657698586,5.36279163610208,0.0256148225987267
"607","C24","CPCRW","drought","DROUGHT_INCUBATION",220.71,198.71,2.09647997446295,6.04653539775668,0.0105504502765988
"608","C25","CPCRW","drought","DROUGHT_INCUBATION",220.48,232.3,3.7547434131749,1.92727793586949,0.0161633379818119
"609","C21","CPCRW","drought","DROUGHT_INCUBATION",220.97,225.9,0.908730738197337,0.627560200683839,0.00402271243115244
"610","C23","CPCRW","drought","DROUGHT_INCUBATION",220.89,214.95,0.400331409394673,0.207641066428837,0.00186243968083123
"611","C22","CPCRW","drought","DROUGHT_INCUBATION",221.33,216.87,5.92603823521753,5.375907781041,0.0273253019560913
"612","C24","CPCRW","drought","DROUGHT_INCUBATION",221.19,198.71,2.6136053848325,6.05284877194379,0.0131528628898017
"613","C25","CPCRW","drought","DROUGHT_INCUBATION",220.97,232.3,1.14307052827715,1.92968906182237,0.00492066520997482
"614","C21","CPCRW","drought","DROUGHT_INCUBATION",221.45,225.9,0.450291198666469,0.62851699473147,0.00199332093256516
"615","C23","CPCRW","drought","DROUGHT_INCUBATION",221.37,214.95,0.195009646898948,0.208076538075785,0.000907232597808552
"616","C22","CPCRW","drought","DROUGHT_INCUBATION",221.82,216.87,4.52802815237948,5.38613848973592,0.0208789973365587
"617","C24","CPCRW","drought","DROUGHT_INCUBATION",221.68,198.71,1.5641750153615,6.0567058790724,0.0078716472012556
"618","C25","CPCRW","drought","DROUGHT_INCUBATION",221.45,232.3,2.00916266584762,1.9338405817518,0.00864899985298158
"619","C21","CPCRW","drought","DROUGHT_INCUBATION",221.93,225.9,NA,0.629473495146414,NA
"620","C23","CPCRW","drought","DROUGHT_INCUBATION",221.93,214.95,NA,0.20858499285574,NA
"621","C22","CPCRW","drought","DROUGHT_INCUBATION",222.37,216.87,4.79766956059383,5.39830577086437,0.0221223293244517
"622","C24","CPCRW","drought","DROUGHT_INCUBATION",222.23,198.71,1.37565446055886,6.06051348791598,0.00692292517014173
"623","C25","CPCRW","drought","DROUGHT_INCUBATION",222.01,232.3,3.96467047389093,1.94339811711719,0.0170670274381874
"624","S7","SR","saturation","SATURATION_INCUBATION",77.45,126.55,4.91402493938134,0.899210241646418,0.0388306988493192
"625","S3","SR","saturation","SATURATION_INCUBATION",77.22,125.17,16.7589872411427,5.78815328060547,0.133889807790547
"626","S2","SR","saturation","SATURATION_INCUBATION",77.53,121.23,2.11396269651131,5.38665267528639,0.0174376201972392
"627","S24","SR","saturation","SATURATION_INCUBATION",77.38,127.41,5.90386078775744,13.1627280139361,0.0463374993152613
"628","S19","SR","field moist","FIELD_MOIST_INCUBATION",263.32,107.7,0.397477772124164,2.92341883243133,0.00369060141248063
"629","S21","SR","field moist","FIELD_MOIST_INCUBATION",263.4,96.55,0.861351550235305,12.0417559356165,0.0089213003649436
"630","S1","SR","field moist","FIELD_MOIST_INCUBATION",263.57,111.5,20.7214149826857,65.7624759749125,0.185842286840231
"631","S3","SR","saturation","SATURATION_INCUBATION",193.24,125.17,3.34092940209436,8.88485879495386,0.0266911352727839
"632","S15","SR","field moist","FIELD_MOIST_INCUBATION",193.37,128.59,10.2650158940195,12.5829128814985,0.0798274818727704
"633","S18","SR","saturation","SATURATION_INCUBATION",193.24,119.84,0.327067972820512,1.11345951774997,0.0027292053806785
"634","S2","SR","saturation","SATURATION_INCUBATION",193.57,121.23,12.1026961610588,16.9712180677574,0.099832518032325
"635","S7","SR","saturation","SATURATION_INCUBATION",193.74,126.55,8.65835893485619,8.85559554812154,0.06841848229835
"636","S13","SR","field moist","FIELD_MOIST_INCUBATION",263.99,113.62,0.215627036515151,0.438490605271339,0.0018977912032666
"637","S24","SR","saturation","SATURATION_INCUBATION",193.45,127.41,28.9132146659734,39.5025508400842,0.22693049733909
"638","S19","SR","field moist","FIELD_MOIST_INCUBATION",263.95,107.7,0.224492172753923,2.92473201784298,0.00208442128833726
"639","S21","SR","field moist","FIELD_MOIST_INCUBATION",264.03,96.55,0.790082288394527,12.0469113146086,0.00818314125732291
"640","S1","SR","field moist","FIELD_MOIST_INCUBATION",264.2,111.5,11.8408514757711,65.82937944065,0.106195977361176
"641","S3","SR","saturation","SATURATION_INCUBATION",193.86,125.17,2.41366443114433,8.89681431103047,0.0192830904461479
"642","S15","SR","field moist","FIELD_MOIST_INCUBATION",193.99,128.59,6.90096014306876,12.6161860387324,0.0536663826352652
"643","S18","SR","saturation","SATURATION_INCUBATION",193.86,119.84,NA,1.11721356806613,NA
"644","S2","SR","saturation","SATURATION_INCUBATION",194.2,121.23,7.52423662220776,17.0103195201371,0.0620657974280934
"645","S7","SR","saturation","SATURATION_INCUBATION",194.36,126.55,5.12660930427213,8.88071208521082,0.0405105436923914
"646","S13","SR","field moist","FIELD_MOIST_INCUBATION",264.61,113.62,0.784426930444433,0.442771054988603,0.0069039511568776
"647","S24","SR","saturation","SATURATION_INCUBATION",194.07,127.41,15.0759708647901,39.5759132287207,0.118326433284594
"648","S19","SR","field moist","FIELD_MOIST_INCUBATION",264.57,107.7,0.261310621055429,2.92623631296884,0.00242628246105319
"649","S21","SR","field moist","FIELD_MOIST_INCUBATION",264.65,96.55,0.788208576016776,12.0519728300631,0.00816373460400597
"650","S1","SR","field moist","FIELD_MOIST_INCUBATION",264.82,111.5,8.300931964708,65.875537089243,0.0744478203112825
"651","S3","SR","saturation","SATURATION_INCUBATION",194.49,125.17,1.99688071609643,8.90686492101002,0.0159533491738949
"652","S15","SR","field moist","FIELD_MOIST_INCUBATION",194.61,128.59,4.79222484079261,12.6392918743439,0.0372674767928502
"653","S18","SR","saturation","SATURATION_INCUBATION",194.49,119.84,1.1306035046224,1.12315716125632,0.00943427490506006
"654","S2","SR","saturation","SATURATION_INCUBATION",194.82,121.23,6.27368119522735,17.0424046668915,0.0517502367007123
"655","S7","SR","saturation","SATURATION_INCUBATION",194.99,126.55,4.28708879764069,8.9020543684389,0.0338766400445728
"656","S13","SR","field moist","FIELD_MOIST_INCUBATION",265.23,113.62,0.131616981446499,0.443489260660992,0.00115839624578858
"657","S24","SR","saturation","SATURATION_INCUBATION",194.7,127.41,11.6870444388529,39.6337017696239,0.0917278427034999
"658","S19","SR","field moist","FIELD_MOIST_INCUBATION",266.18,107.7,0.288789799820588,2.93055341211193,0.00268142803918838
"659","S21","SR","field moist","FIELD_MOIST_INCUBATION",266.27,96.55,0.57656349965105,12.0616469146766,0.00597165716883531
"660","S1","SR","field moist","FIELD_MOIST_INCUBATION",266.43,111.5,14.1853974944108,66.0803665956645,0.127223295913998
"661","S3","SR","saturation","SATURATION_INCUBATION",196.1,125.17,3.27564910627432,8.94899798053788,0.0261696021912145
"662","S15","SR","field moist","FIELD_MOIST_INCUBATION",196.23,128.59,9.17529050331936,12.7548838380688,0.0713530640276799
"663","S18","SR","saturation","SATURATION_INCUBATION",196.1,119.84,4.29900471117579,1.18091248155833,0.035872869752802
"664","S2","SR","saturation","SATURATION_INCUBATION",196.44,121.23,11.4108573432442,17.1948882839505,0.0941256895425567
"665","S7","SR","saturation","SATURATION_INCUBATION",196.6,126.55,6.26671043335059,8.98178098872886,0.0495196399316522
"666","S13","SR","field moist","FIELD_MOIST_INCUBATION",336.74,113.62,3.62881946440382,2.72739068558193,0.0319382103890496
"667","S24","SR","saturation","SATURATION_INCUBATION",266.24,127.41,19.2048254717898,50.4171034983096,0.150732481530412
"668","S18","SR","saturation","SATURATION_INCUBATION",266.32,119.84,15.0341198547916,9.99012389847646,0.125451600924496
"669","S21","SR","field moist","FIELD_MOIST_INCUBATION",336.9,96.55,5.27283973500449,15.9189298818787,0.054612529622004
"670","S1","SR","field moist","FIELD_MOIST_INCUBATION",336.99,111.5,16.0016562512512,76.2066165067702,0.143512612118845
"671","S15","SR","field moist","FIELD_MOIST_INCUBATION",266.61,128.59,7.33969649891288,16.7720534437418,0.0570782836839014
"672","S2","SR","saturation","SATURATION_INCUBATION",266.78,121.23,4.80236072808428,19.981311228877,0.0396136329958284
"673","S3","SR","saturation","SATURATION_INCUBATION",266.61,125.17,16.2463966304683,18.100818915381,0.129794652316596
"674","S19","SR","field moist","FIELD_MOIST_INCUBATION",337.07,107.7,6.0602434284574,6.91951029830826,0.0562696697164104
"675","S7","SR","saturation","SATURATION_INCUBATION",267.03,126.55,5.51506878667725,12.0511314007848,0.0435801563546207
"676","S13","SR","field moist","FIELD_MOIST_INCUBATION",337.36,113.62,1.18137632197129,2.73383720309313,0.0103976088890274
"677","S24","SR","saturation","SATURATION_INCUBATION",266.86,127.41,9.93164871399719,50.465432689132,0.0779503077780174
"678","S18","SR","saturation","SATURATION_INCUBATION",266.95,119.84,7.07178455373634,10.0273003359669,0.0590102182387879
"679","S21","SR","field moist","FIELD_MOIST_INCUBATION",337.53,96.55,2.54242696198782,15.9355195140491,0.0263327494768288
"680","S1","SR","field moist","FIELD_MOIST_INCUBATION",337.61,111.5,11.9655704280435,76.2731515172221,0.107314532986937
"681","S15","SR","field moist","FIELD_MOIST_INCUBATION",267.24,128.59,3.36774868211332,16.7885530290107,0.0261898178871866
"682","S2","SR","saturation","SATURATION_INCUBATION",267.4,121.23,3.84425384990674,20.0009716874017,0.0317104169752268
"683","S3","SR","saturation","SATURATION_INCUBATION",267.24,125.17,6.53368298771093,18.1337039539866,0.0521984739770786
"684","S19","SR","field moist","FIELD_MOIST_INCUBATION",337.69,107.7,4.60712493659358,6.94603228030165,0.0427773903119181
"685","S7","SR","saturation","SATURATION_INCUBATION",267.65,126.55,5.11344361545714,12.0761834358823,0.040406508221708
"686","S13","SR","field moist","FIELD_MOIST_INCUBATION",337.99,113.62,1.40626081273475,2.74163463586925,0.0123768774224146
"687","S24","SR","saturation","SATURATION_INCUBATION",267.49,127.41,7.244657549122,50.5012551069637,0.0568609806853622
"688","S18","SR","saturation","SATURATION_INCUBATION",267.57,119.84,4.49586368192451,10.050559977846,0.0375155514179282
"689","S21","SR","field moist","FIELD_MOIST_INCUBATION",338.15,96.55,2.89000064126709,15.954077778136,0.0299326840110522
"690","S1","SR","field moist","FIELD_MOIST_INCUBATION",338.23,111.5,8.64394346638981,76.3212164943447,0.077524156649236
"691","S15","SR","field moist","FIELD_MOIST_INCUBATION",267.86,128.59,2.67856965800662,16.8014678216693,0.0208303107396113
"692","S2","SR","saturation","SATURATION_INCUBATION",268.03,121.23,3.08407356915897,20.0169987957789,0.0254398545670128
"693","S3","SR","saturation","SATURATION_INCUBATION",267.86,125.17,2.96325446599318,18.1483817343566,0.0236738393064886
"694","S19","SR","field moist","FIELD_MOIST_INCUBATION",338.32,107.7,4.52119728859623,6.97247939536029,0.0419795477121284
"695","S7","SR","saturation","SATURATION_INCUBATION",268.28,126.55,4.65308077699069,12.0993477258033,0.0367687141603373
"696","S13","SR","field moist","FIELD_MOIST_INCUBATION",429.88,113.62,0.140818827805956,2.85552164596509,0.00123938415601088
"697","S3","SR","saturation","SATURATION_INCUBATION",359.38,125.17,12.3022978330283,27.1433988924516,0.0982847154512126
"698","S15","SR","field moist","FIELD_MOIST_INCUBATION",359.51,128.59,4.41365611095081,19.9472146337747,0.034323478582711
"699","S21","SR","field moist","FIELD_MOIST_INCUBATION",429.96,96.55,8.22585420943216,23.7760940905955,0.0851978685596288
"700","S1","SR","field moist","FIELD_MOIST_INCUBATION",430.09,111.5,27.5144989980702,98.98921539984,0.24676680715758
"701","S7","SR","saturation","SATURATION_INCUBATION",359.97,126.55,8.9778618833099,18.6041296782386,0.0709431993939937
"702","S2","SR","saturation","SATURATION_INCUBATION",359.88,121.23,0.786254103183145,20.612704804006,0.00648563971940233
"703","S19","SR","field moist","FIELD_MOIST_INCUBATION",430.17,107.7,1.58319052678679,8.3226748446209,0.0147000048912422
"704","S24","SR","saturation","SATURATION_INCUBATION",359.76,127.41,25.7962174309662,69.1828105763559,0.202466191279854
"705","S18","SR","saturation","SATURATION_INCUBATION",359.84,119.84,1.72511701906272,11.378802195377,0.0143951687171455
"706","S13","SR","field moist","FIELD_MOIST_INCUBATION",430.5,113.62,0.133414360896114,2.85624965955209,0.00117421546291246
