site,treatment,Class,relabund2,total,relativeabundance
DWP,saturation,ConHC,10.537712276137064,100,10.54 ± 1.27 *
DWP,saturation,Lignin,35.61665768342367,100,35.62 ± 2.3 
DWP,saturation,Lipid,19.371794576491574,100,19.37 ± 2.09 
DWP,saturation,Protein,13.292464903742346,100,13.29 ± 1.26 
DWP,saturation,Tannin,3.5244434853972093,100,3.52 ± 0.41 *
DWP,saturation,Unnamed,4.183665334924477,100,4.18 ± 0.1 
DWP,saturation,UnsatHC,2.739984016701012,100,2.74 ± 0.41 *
DWP,time zero saturation,AminoSugar,2.7531235755663634,100,2.75 ± 0.24 
DWP,time zero saturation,Carb,14.215787184217412,100,14.22 ± 1.66 
DWP,time zero saturation,ConHC,9.766463381132032,100,9.77 ± 0.37 
DWP,time zero saturation,Lignin,31.763300808169973,100,31.76 ± 4.2 
DWP,time zero saturation,Lipid,17.523495780271038,100,17.52 ± 3.12 
DWP,time zero saturation,Protein,13.402783153705153,100,13.4 ± 0.76 
DWP,time zero saturation,Tannin,4.05513189346929,100,4.06 ± 0.23 
DWP,time zero saturation,Unnamed,4.47490510809426,100,4.47 ± 0.5 
DWP,time zero saturation,UnsatHC,2.0450091153744774,100,2.05 ± 0.33 
SR,baseline,AminoSugar,2.8160618080246427,100,2.82 ± 0.26 
SR,baseline,Carb,11.717912508334742,100,11.72 ± 1.38 
SR,baseline,ConHC,13.767208210060708,100,13.77 ± 0.89 
SR,baseline,Lignin,26.79729648838247,100,26.8 ± 2.15 
SR,baseline,Lipid,23.95696757589641,100,23.96 ± 3.3 
SR,baseline,Protein,12.489193956188592,100,12.49 ± 1.39 
SR,baseline,Tannin,2.7377893096574852,100,2.74 ± 0.26 
SR,baseline,Unnamed,1.7190958796038676,100,1.72 ± 0.12 
SR,baseline,UnsatHC,3.9984742638510804,100,4 ± 0.29 
SR,drought,AminoSugar,3.450415725719258,100,3.45 ± 0.32 
SR,drought,Carb,15.54562432274618,100,15.55 ± 1.14 *
SR,drought,ConHC,10.452596996461018,100,10.45 ± 0.75 
SR,drought,Lignin,36.40085312926701,100,36.4 ± 2.72 *
SR,drought,Lipid,10.454635159413334,100,10.45 ± 1.02 *
SR,drought,Protein,14.270549252018494,100,14.27 ± 1.97 
SR,drought,Tannin,3.3300655492106923,100,3.33 ± 0.46 
SR,drought,Unnamed,2.484159513242294,100,2.48 ± 0.14 *
SR,drought,UnsatHC,3.611100351921715,100,3.61 ± 0.74 
SR,field moist,AminoSugar,4.160831144146764,100,4.16 ± 0.16 *
SR,field moist,Carb,12.38221803953111,100,12.38 ± 0.83 
SR,field moist,ConHC,7.43709074121132,100,7.44 ± 1.61 *
SR,field moist,Lignin,34.18783793537406,100,34.19 ± 1.33 *
SR,field moist,Lipid,15.644380196957375,100,15.64 ± 1.3 *
SR,field moist,Protein,18.223942715246736,100,18.22 ± 2.84 
SR,field moist,Tannin,2.639257714306252,100,2.64 ± 0.26 
SR,field moist,Unnamed,1.3268888558642533,100,1.33 ± 0.13 
SR,field moist,UnsatHC,3.9975526573621347,100,4 ± 0.33 
SR,saturation,AminoSugar,3.3714424768643614,100,3.37 ± 0.1 
SR,saturation,Carb,12.802865343395304,100,12.8 ± 0.78 
SR,saturation,ConHC,7.591963310690105,100,7.59 ± 1.09 *
SR,saturation,Lignin,33.55020760637947,100,33.55 ± 1.68 
SR,saturation,Lipid,15.053373489202182,100,15.05 ± 0.78 *
SR,saturation,Protein,19.19537139931545,100,19.2 ± 1.84 
SR,saturation,Tannin,2.943035124544949,100,2.94 ± 0.22 
SR,saturation,Unnamed,1.4911730370458045,100,1.49 ± 0.2 
SR,saturation,UnsatHC,4.000568212562367,100,4 ± 0.8 
SR,time zero saturation,AminoSugar,3.1638913553564736,100,3.16 ± 0.27 
SR,time zero saturation,Carb,10.392818697688826,100,10.39 ± 0.75 
SR,time zero saturation,ConHC,9.715831699757116,100,9.72 ± 0.69 
SR,time zero saturation,Lignin,26.8757715717656,100,26.88 ± 1.05 
SR,time zero saturation,Lipid,23.018642097316658,100,23.02 ± 3.09 
SR,time zero saturation,Protein,17.122443906285625,100,17.12 ± 1.06 
SR,time zero saturation,Tannin,2.6812711655330266,100,2.68 ± 0.15 
SR,time zero saturation,Unnamed,2.0284100772922633,100,2.03 ± 0.2 
SR,time zero saturation,UnsatHC,5.000919429004413,100,5 ± 0.73 
