site,treatment,core,tension,AminoSugar,Carb,ConHC,Lignin,Lipid,Other,Protein,Tannin,UnsatHC,total
CPCRW,drought,C21,1.5 kPa,0.03471261009548352,0.0737145078121121,0.011995364382422581,0.28279848375286526,0.32966933185198183,0.006227625570119637,0.2410357657645332,0.017968654456044588,0.001877656314437197,1
CPCRW,drought,C22,1.5 kPa,0.040848381440625366,0.16998522395355128,0.015239183502043997,0.4979016352788532,0.08923600203025853,0.010632633681461834,0.15391558649083467,0.020904021911037848,0.0013373317113332987,1
CPCRW,drought,C23,1.5 kPa,0.0527591409569538,0.08791251665427131,0.005235735268156328,0.6320544522084304,0.059609471955335246,0.006189162546714564,0.13543297710819782,0.020313779241736742,4.927640602038217e-4,1
CPCRW,drought,C24,1.5 kPa,0.02989648735940084,0.13318625953590663,0.014187479181045098,0.5741053983530765,0.05538987061886882,0.011207349661660168,0.13457767718685024,0.044315865121476554,0.003133612981715124,1
CPCRW,drought,C25,1.5 kPa,0.056905397648208254,0.19248399193875082,0.004522640734049621,0.38259031666618903,0.08785496664725523,0.10115655255526333,0.16330180141451836,0.01050964789657464,6.746844991907847e-4,1
CPCRW,field moist,C16,1.5 kPa,0.0036666655286188812,0.004560596690663785,0.02099785385396709,0.7494969035062444,0.09878256222213867,0.0013838372055807382,0.08994304002967977,0.023569036365099407,0.007599504598007247,1
CPCRW,field moist,C17,1.5 kPa,0.0036659531040981307,0.004839199349738128,0.02751298409201747,0.6541813731107042,0.1609788948419344,0.0015966714155520388,0.11688342236021863,0.022539228282549985,0.0078022734431869205,1
CPCRW,field moist,C18,1.5 kPa,0.0038368226205330366,0.006203625354554116,0.01950917006450837,0.7998638572687587,0.06966841120506664,0.0014745626901883917,0.07721454269071183,0.018595238436665898,0.0036337696690129017,1
CPCRW,field moist,C19,1.5 kPa,0.0041832655288725476,0.0024890913873971206,0.027582008670021533,0.3295198582043579,0.4698734787007017,0,0.14327209171452532,0.014459741376326366,0.008620464417797482,1
CPCRW,field moist,C20,1.5 kPa,0.0013377212178255393,0.001949638944186307,0.017416836315823445,0.4003592351555252,0.4090618916968922,2.9770242053134906e-4,0.15126519878671132,0.013301699837158563,0.005010075625346082,1
CPCRW,saturation,C11,1.5 kPa,0.001999397757068784,0.0025761507375121253,0.02748185277675112,0.4669309688923299,0.2302310127823996,7.487644729552281e-4,0.24086251729611335,0.016261806421814014,0.012907528863055908,1
CPCRW,saturation,C12,1.5 kPa,0.005831803294623395,0.005096589172096679,0.00903379037939409,0.6470679299595734,0.16950482664108737,0.0012535475953851989,0.1502649140071752,0.008928760255295053,0.0030178386953696266,1
CPCRW,saturation,C13,1.5 kPa,0.007799481889796727,0.004842474074803436,0.015730296919264954,0.49157635302694686,0.32619761286107857,0.0017847197452389113,0.13638098508904298,0.010195402627377104,0.005492673766450516,1
CPCRW,saturation,C14,1.5 kPa,0.006428166817574587,0.005015671391244126,0.01403067597029136,0.5394732771551309,0.2150981873599824,0.0017823119755832214,0.19648225496487,0.013157191296516418,0.008532263068807042,1
CPCRW,saturation,C15,1.5 kPa,0.004692143035914867,0.0054158388661082624,0.0017775839738350032,0.4826728644605746,0.27362979378735824,8.317835359423413e-4,0.22351142535087248,0.0034952993017114266,0.003973267687682677,1
CPCRW,time zero saturation,C10,1.5 kPa,0.005860881493446385,0.004693077592307557,0.01256288863884642,0.41609870137989163,0.3260867110044787,0,0.21388803940343507,0.009737506961397004,0.011072193526197245,1
CPCRW,time zero saturation,C6,1.5 kPa,0.009724231212249865,0.003205244833463828,0.02905069973135985,0.37684089683748706,0.33891616358441184,8.653276126578217e-4,0.20844962295413505,0.02174868001417477,0.01119913322005992,1
CPCRW,time zero saturation,C7,1.5 kPa,0.011530701614970865,0.004380551333775308,0.007683171573978505,0.4385175900251858,0.23544990087531162,0.0010447412572194685,0.2737542994881068,0.012440792999929166,0.015198250831522486,1
CPCRW,time zero saturation,C8,1.5 kPa,0.008378024828308931,0.0035752510720568004,0.03378117386233915,0.5340838207877673,0.18789909926255252,9.181719601708107e-4,0.20345532764402471,0.019865616890573354,0.008043513692206362,1
CPCRW,time zero saturation,C9,1.5 kPa,0.005327390277814071,0.0019620531027032175,0.04462936222473238,0.7016742785304501,0.12301091248393001,5.696945281992752e-4,0.09682275779530976,0.02351731615901322,0.0024862348978480393,1
DWP,drought,D21,1.5 kPa,0.016157397671786883,0.0931662609078596,0.02265710308851303,0.3518067508051104,0.2229572489230259,0.007020817231244202,0.2730865984843139,0.004834192479539583,0.00831363040860649,1
DWP,drought,D22,1.5 kPa,0.0061962973730315994,0.11747093131779097,0.031346182404552426,0.3217876521784333,0.310842634761056,0.010048490317227089,0.1417657345965433,9.069445164082678e-4,0.05963513253495705,1
DWP,drought,D23,1.5 kPa,0.009150214989771454,0.050339783656020896,0.019300713384722244,0.48514892827811096,0.22870161723043883,0.007236902730222608,0.18926780671591098,0.0034144136586730517,0.007439619356129003,1
DWP,drought,D24,1.5 kPa,0.010006171103687947,0.06059583352976481,0.01478846759973313,0.47466566973257734,0.20433188616805242,0.007441392842611178,0.219896303154579,0.005958372130236329,0.0023159037387578685,1
DWP,drought,D25,1.5 kPa,0.009747556282605483,0.09467615095071265,0.027064171419677444,0.535768130489625,0.11478069834841002,0.013500379164271131,0.19666193601105597,0.006887133211956679,9.138441216855113e-4,1
DWP,field moist,D17,1.5 kPa,0.004037189620613099,0.003478965631897027,0.05335675277861136,0.5575056679158232,0.21766826275050308,0.0020242139235082425,0.11990359587043373,0.03171409402857036,0.010311257480039821,1
DWP,field moist,D18,1.5 kPa,0.007467658037098851,0.0037475762383924103,0.028487690293904112,0.5161686378369192,0.22879603614874414,0.0019768595697133608,0.1667839935792141,0.023015120588053883,0.02355642770795983,1
DWP,field moist,D19,1.5 kPa,0.00893377240447767,0.003215842034132461,0.009169350403608029,0.6102226468594226,0.16273018264083552,0.002788831861239357,0.16002693117083824,0.023936552375522665,0.01897589024992341,1
DWP,field moist,D20,1.5 kPa,0.005806397233959976,0.00241013541678415,0.032808011134555545,0.5746509595451958,0.2242596126352159,0.0010023155001519398,0.13108029215995118,0.01976066919946275,0.008221607174722709,1
DWP,saturation,D11,1.5 kPa,0.002454248333642387,0.0023580552706541865,0.0745610382496095,0.6465898192182687,0.15685062887891152,0.0012957560883726314,0.08621968352052256,0.01292902305834667,0.016741747381671713,1
DWP,saturation,D12,1.5 kPa,9.345897684944035e-4,0.012553244336057165,0.08691443896153246,0.28332871990354186,0.37052352543215256,0.0026333670338533795,0.20924609130108768,0.009643944126283197,0.0242220791369973,1
DWP,saturation,D13,1.5 kPa,0.0066348584560801315,0.014645814485259154,0.024197970173996455,0.4828049299373595,0.30811981577815334,0.00170136901654317,0.13006610386913448,0.01268024583088047,0.01914889245259322,1
DWP,saturation,D14,1.5 kPa,0.0020845494608823316,0.004069234063005596,0.08434498118006463,0.6779674939046865,0.1169031980176958,9.239395725607913e-4,0.0819696328920936,0.023048808866128406,0.008688162042882459,1
DWP,saturation,D15,1.5 kPa,0.0016423549797526958,0.006130708230636597,0.0789434335201938,0.6146108089669878,0.10618478165821874,0.0019754740685734374,0.1387745859216999,0.0375595091600407,0.014178343493896368,1
DWP,time zero saturation,D10,1.5 kPa,0.08872277783123934,0.16627475794886698,0.01986389474148133,0.19638750424973528,0.1965402194337253,0.011385278011388273,0.26689064779385485,0.04760743451473427,0.006327485474974376,1
DWP,time zero saturation,D6,1.5 kPa,0.1263435148259061,0.15815630108638667,0.03404729205348953,0.20482957366070748,0.04558546383661371,0.011963598453435807,0.35944381297385686,0.05266565487027291,0.006964788239330907,1
DWP,time zero saturation,D7,1.5 kPa,0.13252170370235145,0.17292158192688725,0.01862079098156708,0.2344570883181503,0.07083502808051098,0.010965438512838313,0.3013931076570727,0.045537139496608633,0.01274812132401333,1
DWP,time zero saturation,D8,1.5 kPa,0.024955217181372048,0.045661117790547524,0.005635593045831033,0.08836653278850053,0.4734211577178934,0.00203262252186828,0.3365550031819146,0.009678491715037452,0.013694264057035142,1
DWP,time zero saturation,D9,1.5 kPa,0.015629991252912832,0.006655538671868954,0.004714748799958978,0.038873182107126085,0.6832060707282722,0.0013426264510868432,0.2390339194013468,0.0018261752789030547,0.008717747308524293,1
SR,drought,S10,1.5 kPa,0.008899365131653666,0.0014417880920686345,0.00895184417724441,0.37235509033550174,0.3854390107935502,0.0012506335008786486,0.17434902550623071,0.0044997591779468845,0.04281348328492511,1
SR,drought,S14,1.5 kPa,0.007605657511782508,0.001457846387724155,0.006898820048293206,0.2799940118809226,0.4729969488610323,8.650220077550324e-4,0.18792877042770503,0.0019301003341026142,0.04032282254068255,1
SR,drought,S25,1.5 kPa,0.0016087343078325077,0.0013466904557054387,0.011409943897232173,0.29671130727644857,0.4359286085702496,0.004370311696970836,0.13599395969246703,0,0.11263044410309384,1
SR,drought,S4,1.5 kPa,0.0012703054740758493,4.540667058639449e-4,0.016997451004338332,0.24503894510398358,0.4777438599438523,7.807569513051734e-4,0.20862494309282648,0.004547784540274333,0.044541887183480074,1
SR,drought,S5,1.5 kPa,0.013677030155101936,0.0018027607781350978,0.03171675016263129,0.31614804606722957,0.39657221190143516,0.005759031712515123,0.22211950894801688,0,0.012204660274935043,1
SR,field moist,S1,1.5 kPa,0.03536513069735523,0.007638539801556505,0.019743715590049164,0.24093951757866008,0.3316470433927975,6.349974574704748e-4,0.33604068830778105,0.00790339946020925,0.020086967714120742,1
SR,field moist,S13,1.5 kPa,0.012570530258375982,0.008308412615833424,0.001590755736341363,0.07560928631502992,0.8244955585726054,0.0011213326682745178,0.054675507461447954,0.002561695823789142,0.019066920548302384,1
SR,field moist,S15,1.5 kPa,0.015835473165201588,0.005548797958935268,0.005520290910978106,0.22366245100661294,0.4956227867350028,8.396767859219903e-4,0.2359888309064432,0.0018764662162932724,0.015105226314610877,1
SR,field moist,S19,1.5 kPa,0.009231472298946736,0.037739491517573324,9.742290548296121e-4,0.6792316955056285,0.12039307164898257,0.0011860465889575072,0.1389909614428194,0.0038863585934877888,0.00836667334877474,1
SR,field moist,S21,1.5 kPa,0.008328387701555444,0.02116259570502324,0.007871503261780988,0.22735473701720185,0.4696000289248862,0.0015612097883601417,0.24415683386892337,0.004795407268638665,0.015169296463630067,1
SR,saturation,S18,1.5 kPa,0.008339542221350872,0.002011667268669596,0.00782173205410289,0.1704747705720498,0.7023288468007997,0,0.07536374153406747,0.0023493612861883,0.03131033826277147,1
SR,saturation,S2,1.5 kPa,0.0054168623336817295,0.004085611741725389,0.005221803879537222,0.12083930171841938,0.719145571294671,0,0.08470889896834484,9.070624040467565e-4,0.0596748876595737,1
SR,saturation,S3,1.5 kPa,0.0029656264514823765,0.015096525099770544,0.0026281686676648203,0.2438146603878519,0.6087308498034807,0,0.1037072364360641,8.906696317207383e-4,0.022166263521964963,1
