"Mass","C","H","O","N","S","P","Na","El_comp","Class","NeutralMass","AImod","NOSC","HC","OC"
200.0023281,7,7,4,1,1,0,0,"CHONS","Lignin",201.0096046,0.5,0.857142857142857,1,0.57
200.0564764,8,11,5,1,0,0,0,"CHON","Lignin",201.0637529,0.222222222222222,0.25,1.38,0.62
200.0928704,9,15,4,1,0,0,0,"CHON","Protein",201.1001469,0.0833333333333333,-0.444444444444445,1.67,0.44
200.1292468,10,19,3,1,0,0,0,"CHON","Protein",201.1365232,0,-1,1.9,0.3
200.9863343,7,6,5,0,1,0,0,"CHOS","Tannin",201.9936108,0.428571428571429,0.857142857142857,0.86,0.71
200.9892602,6,7,2,2,1,1,0,"CHONSP","Lignin",201.9965367,1.5,0.833333333333333,1.17,0.33
201.0404978,8,10,6,0,0,0,0,"CHO","Tannin",202.0477743,0.2,0.25,1.25,0.75
201.0557344,12,10,3,0,0,0,0,"CHO","Lignin",202.0630109,0.619047619047619,-0.333333333333333,0.83,0.25
201.0768719,9,14,5,0,0,0,0,"CHO","AminoSugar",202.0841484,0.0769230769230769,-0.444444444444445,1.56,0.56
201.0881025,8,14,4,2,0,0,0,"CHON","Protein",202.095379,0,0,1.75,0.5
201.092141,13,14,2,0,0,0,0,"CHO","Lignin",202.0994174,0.5,-0.769230769230769,1.08,0.15
201.1132557,10,18,4,0,0,0,0,"CHO","Protein",202.1205322,0,-1,1.8,0.4
201.1244971,9,18,3,2,0,0,0,"CHON","Protein",202.1317736,-0.0909090909090909,-0.666666666666667,2,0.33
201.1285147,14,18,1,0,0,0,0,"CHO","UnsatHC",202.1357912,0.407407407407407,-1.14285714285714,1.29,0.07
201.1325948,9,19,3,1,0,0,0,"CHON","Protein",202.1398713,-0.153846153846154,-1.11111111111111,2.11,0.33
201.1496444,11,22,3,0,0,0,0,"CHO","Lipid",202.1569208,-0.0526315789473684,-1.45454545454545,2,0.27
201.9451649,5,1,6,1,1,0,0,"CHONS","Other",202.9524413,Inf,3.2,0.2,1.2
202.0357351,7,9,6,1,0,0,0,"CHON","Tannin",203.0430115,0.166666666666667,0.857142857142857,1.29,0.86
202.0721347,8,13,5,1,0,0,0,"CHON","AminoSugar",203.0794112,0,0,1.62,0.62
