group,1.5 kPa_CPCRW_drought,1.5 kPa_CPCRW_field moist,1.5 kPa_CPCRW_saturation,1.5 kPa_CPCRW_time zero saturation,1.5 kPa_DWP_drought,1.5 kPa_DWP_field moist,1.5 kPa_DWP_saturation,1.5 kPa_DWP_time zero saturation,1.5 kPa_SR_drought,1.5 kPa_SR_field moist,1.5 kPa_SR_saturation,1.5 kPa_SR_time zero saturation,50 kPa_CPCRW_drought,50 kPa_CPCRW_field moist,50 kPa_CPCRW_saturation,50 kPa_CPCRW_time zero saturation,50 kPa_DWP_drought,50 kPa_DWP_field moist,50 kPa_DWP_saturation,50 kPa_DWP_time zero saturation,50 kPa_SR_drought,50 kPa_SR_field moist,50 kPa_SR_saturation,50 kPa_SR_time zero saturation
AminoSugar,4.3 ± 0.52,0.33 ± 0.05,0.54 ± 0.1,0.82 ± 0.12,1.03 ± 0.16,0.66 ± 0.11,0.28 ± 0.1,7.76 ± 2.46,0.66 ± 0.23,1.63 ± 0.5,0.59 ± 0.12,1.84 ± 0.3,4.35 ± 0.66,0.2 ± 0,0.53 ± 0.06,0.37 ± 0.02,1.38 ± 0.38,0.79 ± 0.07,0.61 ± 0.12,8.79 ± 1.49,0.31 ± 0.09,1.24 ± 0.24,1.66 ± 0.34,2.18 ± 1.37
Carb,13.15 ± 2.28,0.4 ± 0.08,0.46 ± 0.05,0.36 ± 0.05,8.32 ± 1.22,0.32 ± 0.03,0.8 ± 0.24,10.99 ± 3.48,0.13 ± 0.02,1.61 ± 0.61,0.79 ± 0.3,0.51 ± 0.08,10.91 ± 2.17,0.31 ± 0.01,0.9 ± 0.25,0.42 ± 0.05,4.06 ± 1.1,0.33 ± 0.01,0.86 ± 0.15,9.91 ± 1.31,0.3 ± 0.05,1.03 ± 0.54,0.38 ± 0.03,0.17 ± 0.02
ConHC,1.02 ± 0.23,2.26 ± 0.21,1.36 ± 0.42,2.55 ± 0.68,2.3 ± 0.29,3.1 ± 0.91,6.98 ± 1.16,1.66 ± 0.54,1.52 ± 0.45,0.71 ± 0.34,0.58 ± 0.12,1.29 ± 0.31,1.37 ± 0.34,2.58 ± 0.51,2.5 ± 0.45,4.14 ± 1.04,2.35 ± 0.33,3.66 ± 0.85,4.96 ± 1.11,2.47 ± 0.26,0.42 ± 0.19,0.51 ± 0.15,1.25 ± 0.52,1.44 ± 0.32
Lignin,47.39 ± 6.34,58.67 ± 9.42,52.55 ± 3.27,49.34 ± 5.81,43.38 ± 4.12,56.46 ± 1.95,54.11 ± 7.25,15.26 ± 3.77,30.2 ± 2.11,28.94 ± 10.2,19.26 ± 2.9,15.94 ± 0.84,56.09 ± 2.88,82.96 ± 1.55,69.89 ± 1.46,75.73 ± 2.43,55.56 ± 2.55,71.02 ± 2.08,58.9 ± 9.08,33.19 ± 3.36,42.7 ± 8.42,36.06 ± 5.64,28.39 ± 4.35,40.32 ± 11.73
Lipid,12.44 ± 5.18,24.17 ± 8.26,24.29 ± 2.66,24.23 ± 4.1,21.63 ± 3.13,20.84 ± 1.54,21.17 ± 5.37,29.39 ± 12.34,43.37 ± 1.9,44.84 ± 11.52,65.05 ± 3.58,43.82 ± 6.28,7.07 ± 1.09,5.52 ± 2.18,9.61 ± 1.49,8.66 ± 1.76,11.53 ± 1.44,9.36 ± 1.09,18.88 ± 10.45,7.74 ± 2.81,36.81 ± 7.51,43.72 ± 6.42,38.67 ± 7,33.89 ± 9.83
Other,2.71 ± 1.85,0.1 ± 0.03,0.13 ± 0.02,0.07 ± 0.02,0.9 ± 0.12,0.19 ± 0.04,0.17 ± 0.03,0.75 ± 0.24,0.26 ± 0.1,0.11 ± 0.02,0 ± 0,0.35 ± 0.15,0.63 ± 0.17,0.16 ± 0.02,0.04 ± 0,0.13 ± 0.04,0.58 ± 0.08,0.11 ± 0.02,0.11 ± 0.03,0.59 ± 0.06,0.16 ± 0.05,0.13 ± 0.03,0.11 ± 0.04,0.2 ± 0.05
Protein,16.57 ± 1.96,11.57 ± 1.44,18.95 ± 2.03,19.93 ± 2.86,20.41 ± 2.14,14.44 ± 1.13,12.93 ± 2.3,30.07 ± 2.2,18.58 ± 1.49,20.2 ± 4.83,9.49 ± 0.92,33.15 ± 5.46,16.11 ± 1.74,3.97 ± 0.08,12.8 ± 0.71,7 ± 0.8,22.26 ± 2,10.7 ± 1.54,10.55 ± 1.35,30.92 ± 3.15,17.24 ± 4.14,14.49 ± 2.04,27 ± 3.64,17.71 ± 5.26
Tannin,2.28 ± 0.57,1.85 ± 0.21,1.04 ± 0.21,1.75 ± 0.27,0.44 ± 0.1,2.46 ± 0.25,1.92 ± 0.51,3.15 ± 1.06,0.22 ± 0.1,0.42 ± 0.11,0.18 ± 0.06,0.21 ± 0.05,3.37 ± 0.46,3.93 ± 0.92,3.14 ± 0.6,2.88 ± 0.43,1.52 ± 0.21,3.16 ± 0.46,3.95 ± 0.93,5.18 ± 0.31,0.25 ± 0.15,0.26 ± 0.07,0.22 ± 0.05,1.54 ± 1.01
total,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
UnsatHC,0.15 ± 0.05,0.65 ± 0.09,0.68 ± 0.18,0.96 ± 0.21,1.57 ± 1.11,1.53 ± 0.36,1.66 ± 0.26,0.97 ± 0.15,5.05 ± 1.66,1.56 ± 0.21,4.06 ± 0.85,2.9 ± 0.81,0.1 ± 0.03,0.36 ± 0.04,0.59 ± 0.44,0.66 ± 0.32,0.76 ± 0.32,0.87 ± 0.32,1.18 ± 0.53,1.21 ± 0.33,1.81 ± 0.79,2.55 ± 0.35,2.33 ± 0.46,2.56 ± 0.89
