site,treatment,counts_mean,counts_se,dunnett
CPCRW,baseline,1265,75.24387018222812,NA
CPCRW,drought,1602,86.88175872989679,*
CPCRW,field moist,1564,33.63123548132004,*
CPCRW,saturation,1337,31.727590516772615,
CPCRW,time zero saturation,1305,47.12685009630922,NA
DWP,baseline,1348,22.70967121441142,NA
DWP,drought,1533,37.99921051811471,
DWP,field moist,977,25.55508755610123,*
DWP,saturation,1636,44.59215177584503,
DWP,time zero saturation,1679,71.97707968513309,NA
SR,baseline,1200,83.39040712216243,NA
SR,drought,1762,30.19006459085505,*
SR,field moist,1388,24.216936222404353,
SR,saturation,1480,40.75659455842698,
SR,time zero saturation,1539,39.56842175270578,NA
