tension,site,group,treatment,N,relabund,sd,se,ci,relativeabundance,hsd
50 kPa,SR,ConHC,saturation,4,1.2544973717854773,1.0450076471671754,0.5225038235835877,1.6628403628601989,1.25 ± 0.52   a,a
50 kPa,SR,ConHC,time zero saturation,5,1.4405244189470814,0.7050374249114387,0.3153023217566761,0.8754195878988231,1.44 ± 0.32   a,a
50 kPa,SR,Lignin,drought,4,42.696979042157245,16.835124954926307,8.417562477463154,26.788440605897385,42.7 ± 8.42   a,a
50 kPa,SR,Lignin,field moist,5,36.06252808744097,12.617357692453448,5.642653899351158,15.666518799178766,36.06 ± 5.64   a,a
50 kPa,SR,Lignin,saturation,4,28.38676622179844,8.704127740654425,4.352063870327212,13.85020958448155,28.39 ± 4.35   a,a
50 kPa,SR,Lignin,time zero saturation,5,40.321854520572536,26.227080662366493,11.729107042484337,32.565221836446604,40.32 ± 11.73   a,a
50 kPa,SR,Lipid,drought,4,36.80934745043351,15.01758605063518,7.50879302531759,23.896330620562036,36.81 ± 7.51   a,a
50 kPa,SR,Lipid,field moist,5,43.71917103916017,14.36244372137336,6.4230800968011765,17.833329295056995,43.72 ± 6.42   a,a
50 kPa,SR,Lipid,saturation,4,38.66963650490212,14.00257029214226,7.00128514607113,22.28121404535177,38.67 ± 7   a,a
50 kPa,SR,Lipid,time zero saturation,5,33.889614881137,21.987031747507167,9.832899522174403,27.30050574824284,33.89 ± 9.83   a,a
50 kPa,SR,Other,drought,4,0.1607332960649758,0.10491045449276211,0.052455227246381055,0.16693594414306268,0.16 ± 0.05   a,a
50 kPa,SR,Other,field moist,5,0.1335875815286193,0.07165294716761568,0.03204417213099794,0.08896888486322477,0.13 ± 0.03   a,a
50 kPa,SR,Other,saturation,4,0.1061514352979233,0.08208671603513464,0.04104335801756732,0.13061828307944356,0.11 ± 0.04   a,a
50 kPa,SR,Other,time zero saturation,5,0.19911391536047157,0.12035943726636948,0.05382637669224472,0.14944598009771545,0.2 ± 0.05   a,a
50 kPa,SR,Protein,drought,4,17.23524119255603,8.280432614358975,4.140216307179488,13.176016089858717,17.24 ± 4.14   a,a
50 kPa,SR,Protein,field moist,5,14.49259256649333,4.572476465884357,2.0448736406470838,5.677479410322587,14.49 ± 2.04   a,a
50 kPa,SR,Protein,saturation,4,26.99678038252965,7.2787271968430245,3.6393635984215122,11.582079237380562,27 ± 3.64   a,a
50 kPa,SR,Protein,time zero saturation,5,17.706328377176202,11.761260144759957,5.259795436948456,14.603533295257229,17.71 ± 5.26   a,a
50 kPa,SR,Tannin,drought,4,0.25120138739656545,0.307570426889227,0.1537852134446135,0.4894131843340766,0.25 ± 0.15   a,a
50 kPa,SR,Tannin,field moist,5,0.2601910916980549,0.14954274686354796,0.06687754950578734,0.18568184497296636,0.26 ± 0.07   a,a
50 kPa,SR,Tannin,saturation,4,0.21671198538886094,0.09863423632357174,0.04931711816178587,0.15694908048121547,0.22 ± 0.05   a,a
50 kPa,SR,Tannin,time zero saturation,5,1.5381996402210873,2.2524103775759627,1.007308543497164,2.7967368750166197,1.54 ± 1.01   a,a
50 kPa,SR,UnsatHC,drought,4,1.8079161368100096,1.5779343644565396,0.7889671822282698,2.510845694072455,1.81 ± 0.79   a,a
50 kPa,SR,UnsatHC,field moist,5,2.5536577063183747,0.7724981627017751,0.34547168085897234,0.959183157305348,2.55 ± 0.35   a,a
50 kPa,SR,UnsatHC,saturation,4,2.329550043850265,0.9261299529288352,0.4630649764644176,1.4736794234554729,2.33 ± 0.46   a,a
50 kPa,SR,UnsatHC,time zero saturation,5,2.558834106221301,1.9805420003140561,0.8857253089991278,2.4591676987204316,2.56 ± 0.89   a,a
