tension,site,group,treatment,N,relabund,sd,se,ci,relativeabundance,hsd
1.5 kPa,DWP,Carb,saturation,5,0.795141127712254,0.5377355129052781,0.24048263215438345,0.6676868269301194,0.8 ± 0.24   b,b
1.5 kPa,DWP,Carb,time zero saturation,5,10.993385948491147,7.788541385752689,3.483141596822685,9.67075143720917,10.99 ± 3.48   a,a
1.5 kPa,DWP,ConHC,drought,5,2.3031327579439655,0.6469213767663905,0.28931203490948043,0.80325898319924,2.3 ± 0.29   b,b
1.5 kPa,DWP,ConHC,field moist,4,3.0955451152669764,1.812893012588096,0.906446506294048,2.884717334892818,3.1 ± 0.91   b,b
1.5 kPa,DWP,ConHC,saturation,5,6.979237241707937,2.593393141041536,1.1598006711501148,3.2201228964198516,6.98 ± 1.16   a,a
1.5 kPa,DWP,ConHC,time zero saturation,5,1.6576463924465592,1.204802111639977,0.5388038842124558,1.4959594069832316,1.66 ± 0.54   b,b
1.5 kPa,DWP,Lignin,drought,5,43.383542629677144,9.216000723805616,4.121520819823324,11.443176306169265,43.38 ± 4.12   a,a
1.5 kPa,DWP,Lignin,field moist,4,56.463697803934025,3.906562262582128,1.953281131291064,6.216212319457628,56.46 ± 1.95   a,a
1.5 kPa,DWP,Lignin,saturation,5,54.106035438616885,16.210258484886563,7.24944798100982,20.12769436226074,54.11 ± 7.25   a,a
1.5 kPa,DWP,Lignin,time zero saturation,5,15.258277622484393,8.426977918548683,3.768659094152908,10.463475095119993,15.26 ± 3.77   b,b
1.5 kPa,DWP,Lipid,drought,5,21.632281708619665,6.9974692950629915,3.1293634028456765,8.68850570221599,21.63 ± 3.13   a,a
1.5 kPa,DWP,Lipid,field moist,4,20.836352354382466,3.07633612891719,1.538168064458595,4.895137273641648,20.84 ± 1.54   a,a
1.5 kPa,DWP,Lipid,saturation,5,21.17163899530264,12.00521139364096,5.368893752087235,14.906438778309619,21.17 ± 5.37   a,a
1.5 kPa,DWP,Lipid,time zero saturation,5,29.39175879594031,27.59909775096692,12.342691737764719,34.2688060602821,29.39 ± 12.34   a,a
1.5 kPa,DWP,Other,drought,5,0.9049596457115242,0.2774679180132038,0.12408742525057241,0.34452192445354884,0.9 ± 0.12   a,a
1.5 kPa,DWP,Other,field moist,4,0.1948055213653225,0.07321108333293277,0.03660554166646639,0.11649517082935477,0.19 ± 0.04   bc,bc
1.5 kPa,DWP,Other,saturation,5,0.1705981155980682,0.06543252082369957,0.029262312900192555,0.08124520541850587,0.17 ± 0.03   c,c
1.5 kPa,DWP,Other,time zero saturation,5,0.7537912790123503,0.5357859625739494,0.2396107667411018,0.6652661404710223,0.75 ± 0.24   ab,ab
1.5 kPa,DWP,Protein,drought,5,20.413567579248063,4.787887581409268,2.141208420131636,5.944947637282781,20.41 ± 2.14   b,b
1.5 kPa,DWP,Protein,field moist,4,14.444870319510931,2.2529411078194705,1.1264705539097353,3.5849320523009287,14.44 ± 1.13   b,b
1.5 kPa,DWP,Protein,saturation,5,12.925521950090763,5.142421486985351,2.299760802770959,6.3851596239791775,12.93 ± 2.3   b,b
1.5 kPa,DWP,Protein,time zero saturation,5,30.066329820160917,4.920027508052067,2.200303191834663,6.109021026920432,30.07 ± 2.2   a,a
1.5 kPa,DWP,Tannin,drought,5,0.44002111993627824,0.23439120740888858,0.10482293461890543,0.2910351237351283,0.44 ± 0.1   b,b
1.5 kPa,DWP,Tannin,field moist,4,2.4606609047902412,0.5065612408753343,0.25328062043766714,0.8060519747118189,2.46 ± 0.25   ab,ab
1.5 kPa,DWP,Tannin,saturation,5,1.917230620833589,1.145678425262975,0.5123629678485849,1.422547654167818,1.92 ± 0.51   ab,ab
1.5 kPa,DWP,Tannin,time zero saturation,5,3.1462979175111263,2.3775948575624204,1.0632927448927003,2.952173936949664,3.15 ± 1.06   a,a
1.5 kPa,DWP,UnsatHC,drought,5,1.5723626032027185,2.475302942281816,1.1069891287694757,3.073494548079181,1.57 ± 1.11   a,a
1.5 kPa,DWP,UnsatHC,field moist,4,1.5266295653161441,0.7226511851362805,0.36132559256814023,1.1498992970729243,1.53 ± 0.36   a,a
1.5 kPa,DWP,UnsatHC,saturation,5,1.659584490160821,0.576789712969063,0.25794820138428337,0.7161790211279683,1.66 ± 0.26   a,a
1.5 kPa,DWP,UnsatHC,time zero saturation,5,0.9690481280775609,0.335651582300277,0.1501079509557569,0.4167664856823817,0.97 ± 0.15   a,a
