num.trans.involved.in,sample,peak
11,Sample_data[, -1],203.107783
3,Sample_data[, -1],204.0533922
20,Sample_data[, -1],205.0142724
45,Sample_data[, -1],205.0506543
60,Sample_data[, -1],205.0870357
11,Sample_data[, -1],205.1234302
12,Sample_data[, -1],205.1598138
62,Sample_data[, -1],207.0299118
45,Sample_data[, -1],207.0663043
29,Sample_data[, -1],207.1026919
28,Sample_data[, -1],209.0455722
41,Sample_data[, -1],209.0819552
44,Sample_data[, -1],210.0533832
5,Sample_data[, -1],210.0715882
28,Sample_data[, -1],211.0248334
48,Sample_data[, -1],211.061218
4,Sample_data[, -1],211.0794132
60,Sample_data[, -1],211.0975987
40,Sample_data[, -1],212.0690329
2,Sample_data[, -1],212.0750953
58,Sample_data[, -1],215.0713839
67,Sample_data[, -1],217.0506448
4,Sample_data[, -1],217.0612148
6,Sample_data[, -1],217.0793987
68,Sample_data[, -1],217.0870317
46,Sample_data[, -1],217.1234208
13,Sample_data[, -1],218.0690311
1,Sample_data[, -1],218.0872353
58,Sample_data[, -1],219.0299139
3,Sample_data[, -1],219.0586719
90,Sample_data[, -1],219.0662973
11,Sample_data[, -1],219.076857
82,Sample_data[, -1],219.10268
7,Sample_data[, -1],220.0482982
7,Sample_data[, -1],220.0664915
9,Sample_data[, -1],220.1468992
43,Sample_data[, -1],221.0091797
78,Sample_data[, -1],221.0455643
88,Sample_data[, -1],221.0819481
57,Sample_data[, -1],221.118332
35,Sample_data[, -1],221.1547158
51,Sample_data[, -1],222.0533856
29,Sample_data[, -1],222.0897761
76,Sample_data[, -1],223.0248209
1,Sample_data[, -1],223.028371
123,Sample_data[, -1],223.061206
7,Sample_data[, -1],223.0794072
111,Sample_data[, -1],223.0975907
59,Sample_data[, -1],223.1339774
7,Sample_data[, -1],224.0508428
72,Sample_data[, -1],224.0690267
7,Sample_data[, -1],224.0872305
69,Sample_data[, -1],225.0404753
13,Sample_data[, -1],225.0586645
91,Sample_data[, -1],225.0768606
66,Sample_data[, -1],225.1132462
1,Sample_data[, -1],225.1608605
1,Sample_data[, -1],225.1618831
6,Sample_data[, -1],226.0664954
61,Sample_data[, -1],226.0846776
95,Sample_data[, -1],227.0561182
94,Sample_data[, -1],227.0925057
51,Sample_data[, -1],227.1077641
15,Sample_data[, -1],227.2016638
79,Sample_data[, -1],231.10268
79,Sample_data[, -1],233.0455606
9,Sample_data[, -1],233.0743103
104,Sample_data[, -1],233.0819435
84,Sample_data[, -1],233.1183251
108,Sample_data[, -1],235.0248168
146,Sample_data[, -1],235.0612003
115,Sample_data[, -1],235.097589
70,Sample_data[, -1],235.1339785
75,Sample_data[, -1],236.069028
47,Sample_data[, -1],236.1054202
66,Sample_data[, -1],237.0404768
128,Sample_data[, -1],237.0768559
4,Sample_data[, -1],237.0950531
110,Sample_data[, -1],237.1132363
50,Sample_data[, -1],238.0482981
17,Sample_data[, -1],238.0664785
56,Sample_data[, -1],238.0846832
17,Sample_data[, -1],238.1028631
62,Sample_data[, -1],239.0197352
91,Sample_data[, -1],239.056125
1,Sample_data[, -1],239.0596755
20,Sample_data[, -1],239.074305
106,Sample_data[, -1],239.092507
96,Sample_data[, -1],239.1288854
5,Sample_data[, -1],239.1401271
54,Sample_data[, -1],240.0275532
13,Sample_data[, -1],240.04575
70,Sample_data[, -1],240.0639354
11,Sample_data[, -1],240.0821386
60,Sample_data[, -1],240.1003251
54,Sample_data[, -1],241.0353881
104,Sample_data[, -1],241.0717705
104,Sample_data[, -1],241.1081506
5,Sample_data[, -1],241.2173175
88,Sample_data[, -1],243.0298993
106,Sample_data[, -1],243.0874124
79,Sample_data[, -1],243.1026763
83,Sample_data[, -1],245.0455568
115,Sample_data[, -1],245.0819331
16,Sample_data[, -1],245.0925022
91,Sample_data[, -1],245.1183162
16,Sample_data[, -1],246.0821244
109,Sample_data[, -1],247.0248127
136,Sample_data[, -1],247.0611968
94,Sample_data[, -1],247.0975925
86,Sample_data[, -1],247.1339762
