SampleID,Site,CoreNo,Treatment,date_collected,date_incubated,date_saturated,date_deconstructed,HeadSpace_Ht_cm,DryMass_SoilOnly_g,DryMass_NONsoil_ALL_g,VolumeSoil_cm3,soil_pH_water_airdried,DryMass_RocksRoots_g,PotPieTin+BottomCap+Liner_g,WSOC_mgC/gsoil,WSOC_mg/L,%C,%OC,Notes
C6,CPCRW,6,sat_I,9/18/2016,NA,10/7/2016,10/11/2016,1,188.05,272.1,206.9,5.94,213.95,58.15,0.651,21.9,0.78,0.83,
C7,CPCRW,7,sat_I,9/18/2016,NA,10/7/2016,10/11/2016,0,367.98,105.91,322.5,5.44,48.06,57.85,0.53,18,0.85,0.84,
C8,CPCRW,8,sat_I,9/18/2016,NA,10/7/2016,10/11/2016,2,255.05,109.05,228.29,5.22,54.8,54.25,0.74,25.3,1.77,1.81,
C9,CPCRW,9,sat_I,9/18/2016,NA,10/7/2016,10/11/2016,2,173.28,201.1,196.29,5.44,142.25,58.85,1.078,36.4,1.83,1.84,
C10,CPCRW,10,sat_I,9/18/2016,NA,10/7/2016,10/11/2016,1,285.19,125.19,267.9,5.08,72.04,53.15,0.918,30.9,1.13,1.05,
C11,CPCRW,11,sat_II,9/18/2016,10/11/2016,10/11/2016,11/14/2016,3,150.55,249.76,206.69,,191.51,58.25,0.442,15.2,1.47,1.38,
C12,CPCRW,12,sat_II,9/18/2016,10/11/2016,10/11/2016,11/14/2016,3,232.06,137.83,171.69,,79.48,58.35,0.752,25.8,1.46,1.99,
C13,CPCRW,13,sat_II,9/18/2016,10/11/2016,10/11/2016,11/14/2016,1,138.96,296.76,186.9,,238.81,57.95,0.571,20,1.63,1.49,
C14,CPCRW,14,sat_II,9/18/2016,10/11/2016,10/11/2016,11/14/2016,1.5,233.1,151.38,235.09,,92.63,58.75,0.603,20.8,1.21,1.14,
C15,CPCRW,15,sat_II,9/18/2016,10/11/2016,10/11/2016,11/14/2016,5,156.34,112.97,94.48,4.77,54.22,58.75,0.582,20.5,2.02,1.87,
C16,CPCRW,16,field_moist,9/18/2016,10/11/2016,11/10/2016,11/14/2016,0,213.67,124.03,318.5,4.89,66.48,57.55,0.796,26.4,1.64,1.69,
C17,CPCRW,17,field_moist,9/18/2016,10/11/2016,11/10/2016,11/14/2016,3,209.99,129.62,174.69,4.99,71.97,57.65,0.677,22.8,1.22,1.17,
C18,CPCRW,18,field_moist,9/18/2016,10/11/2016,11/10/2016,11/14/2016,0,168.51,143.44,312.5,4.9,89.39,54.05,0.88,29.8,3.01,2.92,
C19,CPCRW,19,field_moist,9/18/2016,10/11/2016,11/10/2016,11/14/2016,0,320.73,109.36,327.5,5.22,55.21,54.15,0.489,16.7,1.77,1.74,
C20,CPCRW,20,field_moist,9/18/2016,10/11/2016,11/10/2016,11/14/2016,0,278.9,150.95,302.5,4.96,93.3,57.65,0.594,20.3,1.51,1.43,
C21,CPCRW,21,drought,9/18/2016,11/4/2016,12/4/2016,12/8/2016,0.5,225.9,261.43,243.7,5.09,203.98,57.45,0.448,15,0.98,0.99,
C22,CPCRW,22,drought,9/18/2016,11/4/2016,12/4/2016,12/8/2016,0.5,216.87,140.41,289.7,5.1,82.26,58.15,0.683,23.4,1.98,2.03,
C23,CPCRW,23,drought,9/18/2016,11/4/2016,12/4/2016,12/8/2016,0.5,214.95,116.61,300.7,5.67,58.56,58.05,0.921,31.9,2.08,1.99,
C24,CPCRW,24,drought,9/18/2016,11/4/2016,12/4/2016,12/8/2016,0.5,198.71,125.4,289.7,5.05,67.55,57.85,0.63,21.7,1.95,2,
C25,CPCRW,25,drought,9/18/2016,11/4/2016,12/4/2016,12/8/2016,0.5,232.3,114.34,299.7,4.7,55.09,59.25,1.589,53.4,1.65,1.6,
D6,DWP,6,sat_I,5/31/2017,NA,6/15/2017,6/19/2017,0,444.51,78.85,333.5,4.69,18.7,60.15,0.438,15.1,0.98,1.01,
D7,DWP,7,sat_I,5/31/2017,NA,6/15/2017,6/19/2017,0,507.14,77.75,332.5,5.055,17.8,59.95,0.55,18.4,0.39,0.36,
D8,DWP,8,sat_I,5/31/2017,NA,6/15/2017,6/19/2017,0.5,442.15,67.05,317.7,4.6,8,59.05,0.246,8.21,0.49,0.43,
D9,DWP,9,sat_I,5/31/2017,NA,6/15/2017,6/19/2017,2.5,277.92,65.75,232.49,4.685,3.8,61.95,0.646,27.9,1.06,1.13,
D10,DWP,10,sat_I,5/31/2017,NA,6/15/2017,6/19/2017,0,402.18,79.35,322.5,4.305,20.6,58.75,0.657,22,0.99,0.99,
D11,DWP,11,sat_II,5/31/2017,6/17/2017,6/17/2017,7/20/2017,0,432.75,74.55,335.5,4.62,12.3,62.25,0.291,9.83,0.79,0.8,
D12,DWP,12,sat_II,5/31/2017,6/17/2017,6/17/2017,7/20/2017,0,392.66,92.15,331.5,4.67,30.5,61.65,0.379,13,1.17,1.01,
D13,DWP,13,sat_II,5/31/2017,6/17/2017,6/17/2017,7/20/2017,1,352.08,68.65,297.9,4.45,8.6,60.05,0.263,9.05,0.56,0.52,
D14,DWP,14,sat_II,5/31/2017,6/17/2017,6/17/2017,7/20/2017,0.5,362.82,68.45,318.7,4.495,6.7,61.75,0.415,14.3,0.63,0.62,
D15,DWP,15,sat_II,5/31/2017,6/17/2017,6/17/2017,7/20/2017,0.5,296.56,74.65,315.7,4.5,12.9,61.75,0.579,19.9,1.01,1.1,
D16,DWP,16,field_moist,5/31/2017,6/23/2017,7/23/2017,7/27/2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,removed from analyses
D17,DWP,17,field_moist,5/31/2017,6/23/2017,7/23/2017,7/27/2017,1,318.25,78.25,291.9,4.765,7.4,70.85,0.305,10.6,0.94,0.87,
D18,DWP,18,field_moist,5/31/2017,6/23/2017,7/23/2017,7/27/2017,0,461.79,79.55,336.5,4.705,8.4,71.15,0.395,13.2,0.63,0.97,
D19,DWP,19,field_moist,5/31/2017,6/23/2017,7/23/2017,7/27/2017,0,457.99,83.25,339.5,4.59,12.6,70.65,0.454,15.5,0.91,0.79,
D20,DWP,20,field_moist,5/31/2017,6/23/2017,7/23/2017,7/27/2017,0,387.1,80.35,337.5,4.77,9,71.35,0.251,8.57,0.66,0.62,
D21,DWP,21,drought,5/31/2017,7/24/2017,8/24/2017,8/28/2017,0,431.48,88.15,331.5,4.755,18.9,69.25,0.272,9.35,0.73,0.77,
D22,DWP,22,drought,5/31/2017,7/24/2017,8/24/2017,8/28/2017,0,421.19,81.85,332.5,5.575,13.7,68.15,0.302,10.4,0.61,0.69,
D23,DWP,23,drought,5/31/2017,7/24/2017,8/24/2017,8/28/2017,0,404.84,76.75,344.5,4.955,8.8,67.95,0.243,8.02,0.82,0.81,
D24,DWP,24,drought,5/31/2017,7/24/2017,8/24/2017,8/28/2017,0,307.07,78.85,340.5,4.78,7.8,71.05,2.179,73.7,0.8,0.8,
D25,DWP,25,drought,5/31/2017,7/24/2017,8/24/2017,8/28/2017,0,330.76,85.65,327.5,4.88,14.6,71.05,0.62,20.6,0.72,0.87,
S9,SR,9,sat_I,10/26/2016,NA,11/14/2016,11/18/2016,0,139.39,61.42,342.5,5.98,3.11,58.31,0.523,12.8,9.6,9.27,
S11,SR,11,sat_I,10/26/2016,NA,11/14/2016,11/18/2016,0,127.17,59.76,346.5,5.88,1.26,58.5,0.395,9.83,9.95,9.46,
S16,SR,16,sat_I,10/26/2016,NA,11/14/2016,11/18/2016,0,82.09,56.43,346.5,6.08,2.37,54.06,0.487,12.4,10.37,9.79,
S17,SR,17,sat_I,10/26/2016,NA,11/14/2016,11/18/2016,0,111.72,65.22,343.5,6.31,6.65,58.57,0.477,12.4,10.04,10.13,
S23,SR,23,sat_I,10/26/2016,NA,11/14/2016,11/18/2016,0,125.05,59.96,344.5,6.03,1.48,58.48,0.286,7.38,8.62,8.65,
S2,SR,2,sat_II,10/26/2016,11/10/2016,11/10/2016,12/14/2016,0.5,121.23,60.66,323.7,5.73,2.39,58.27,0.411,9.88,10.46,10.13,
S3,SR,3,sat_II,10/26/2016,11/10/2016,11/10/2016,12/13/2016,0,125.17,55.38,343.5,6.07,1.37,54.01,0.558,14.3,11.33,11.21,
S7,SR,7,sat_II,10/26/2016,11/10/2016,11/10/2016,12/12/2016,0,126.55,55.82,344.5,5.86,1.96,53.86,0.458,11,10.6,10.38,
S18,SR,18,sat_II,10/26/2016,11/10/2016,11/10/2016,12/16/2016,2,119.84,60.18,255.29,6.13,1.05,59.13,0.625,15.1,9.81,9.27,
S24,SR,24,sat_II,10/26/2016,11/10/2016,11/10/2016,12/15/2016,1,127.41,58.87,300.9,6.14,0.36,58.51,0.718,17.3,10.25,9.58,
S1,SR,1,field_moist,10/26/2016,11/11/2016,12/12/2016,12/16/2016,1,111.5,63.01,294.9,6.03,9.19,53.82,0.437,10.2,12.01,11.75,
S13,SR,13,field_moist,10/26/2016,11/11/2016,12/12/2016,12/16/2016,0,113.62,59.04,347.5,5.96,0,59.04,0.605,14.4,8.72,8.46,
S15,SR,15,field_moist,10/26/2016,11/11/2016,12/12/2016,12/16/2016,0,128.59,59.2,343.5,6.15,0.88,58.32,0.643,15.1,10.59,10.35,
S19,SR,19,field_moist,10/26/2016,11/11/2016,12/12/2016,12/16/2016,0,107.7,60.12,345.5,6.38,1.28,58.84,0.625,14.7,11.22,10.75,
S21,SR,21,field_moist,10/26/2016,11/11/2016,12/12/2016,12/16/2016,0,96.55,59.1,343.5,5.95,1.57,57.53,0.744,17.8,10.6,10.14,
S4,SR,4,drought,10/26/2016,1/25/2017,2/24/2017,2/28/2017,0.5,154.08,7.28,322.7,5.89,0.83,6.45,0.47,12.3,9.34,9.17,
S5,SR,5,drought,10/26/2016,1/25/2017,2/24/2017,2/28/2017,1,128.77,6.68,301.9,6.02,0.23,6.45,0.527,11.8,8.72,8.48,
S10,SR,10,drought,10/26/2016,1/25/2017,2/24/2017,2/28/2017,1,118.06,9.68,298.9,5.94,3.23,6.45,0.685,15.9,9.64,9.2,
S14,SR,14,drought,10/26/2016,1/25/2017,2/24/2017,2/28/2017,0,150.39,7.38,346.5,5.93,0.93,6.45,0.703,16.6,10.04,9.97,
S25,SR,25,drought,10/26/2016,1/25/2017,2/24/2017,2/28/2017,0,146.15,10.18,342.5,5.82,3.73,6.45,0.612,14.3,10.17,10.07,
