"Site","Treatment","Suction","wsoc_mgL_mean","wsoc_mgL"
"CPCRW","Time Zero","1.5 kPa",26.3,"26.3 ± 2.78 "
"CPCRW","Field Moist","1.5 kPa",21.22,"21.22 ± 3.73 "
"CPCRW","Saturated","1.5 kPa",52.82,"52.82 ± 13.98 "
"CPCRW","Drought","1.5 kPa",111.82,"111.82 ± 41.45 *"
"DWP","Time Zero","1.5 kPa",76.68,"76.68 ± 21.76 "
"DWP","Field Moist","1.5 kPa",46.325,"46.33 ± 11.94 "
"DWP","Saturated","1.5 kPa",42.08,"42.08 ± 7.34 "
"DWP","Drought","1.5 kPa",69.02,"69.02 ± 13 "
"SR","Time Zero","1.5 kPa",6.025,"6.03 ± 0.57 "
"SR","Field Moist","1.5 kPa",18.68,"18.68 ± 2.36 *"
"SR","Saturated","1.5 kPa",23.16,"23.16 ± 3.29 *"
"SR","Drought","1.5 kPa",13.9,"13.9 ± 2.43 "
"CPCRW","Time Zero","50 kPa",29.14,"29.14 ± 4.41 "
"CPCRW","Field Moist","50 kPa",41.1666666666667,"41.17 ± 12.67 "
"CPCRW","Saturated","50 kPa",63.4,"63.4 ± 20.84 "
"CPCRW","Drought","50 kPa",186.86,"186.86 ± 62.65 *"
"DWP","Time Zero","50 kPa",92.325,"92.33 ± 22.22 "
"DWP","Field Moist","50 kPa",52.4333333333333,"52.43 ± 14.74 "
"DWP","Saturated","50 kPa",82.7,"82.7 ± 16.52 "
"DWP","Drought","50 kPa",69.975,"69.97 ± 13.39 "
"SR","Time Zero","50 kPa",7.275,"7.28 ± 0.34 "
"SR","Field Moist","50 kPa",19.82,"19.82 ± 2.93 "
"SR","Saturated","50 kPa",24.075,"24.07 ± 2.43 *"
"SR","Drought","50 kPa",19.3,"19.3 ± 8.32 "
