sample,Dist,peak.x,peak.y,Dist.plus,Dist.minus,Trans.name
Sample_data[, -1],0.0363818999999808,205.0506543,205.0142724,0.0363918999999808,0.0363718999999808,CH4_O
Sample_data[, -1],0.0363814000000104,205.0870357,205.0506543,0.0363914000000104,0.0363714000000104,CH4_O
Sample_data[, -1],2.01564719999999,205.1234302,203.107783,2.01565719999999,2.01563719999999,H2
Sample_data[, -1],2.05203079999998,205.1598138,203.107783,2.05204079999998,2.05202079999998,CH6O_1
Sample_data[, -1],0.0363835999999935,205.1598138,205.1234302,0.0363935999999935,0.0363735999999935,CH4_O
Sample_data[, -1],1.97925750000002,207.0299118,205.0506543,1.97926750000002,1.97924750000002,C_1H_2O1
Sample_data[, -1],2.0520319,207.0663043,205.0142724,2.0520419,2.0520219,CH6O_1
Sample_data[, -1],2.01565000000002,207.0663043,205.0506543,2.01566000000002,2.01564000000002,H2
Sample_data[, -1],1.97926860000001,207.0663043,205.0870357,1.97927860000001,1.97925860000001,C_1H_2O1
Sample_data[, -1],3.99490889999998,207.1026919,203.107783,3.99491889999998,3.99489889999998,C_1O1
Sample_data[, -1],2.05203760000001,207.1026919,205.0506543,2.05204760000001,2.05202760000001,CH6O_1
Sample_data[, -1],2.0156562,207.1026919,205.0870357,2.0156662,2.0156462,H2
Sample_data[, -1],1.9792617,207.1026919,205.1234302,1.9792717,1.97925169999999,C_1H_2O1
Sample_data[, -1],0.0363875999999834,207.1026919,207.0663043,0.0363975999999834,0.0363775999999834,CH4_O
Sample_data[, -1],4.0312998,209.0455722,205.0142724,4.0313098,4.0312898,H4
Sample_data[, -1],3.99491790000002,209.0455722,205.0506543,3.99492790000002,3.99490790000002,C_1O1
Sample_data[, -1],1.9792679,209.0455722,207.0663043,1.9792779,1.9792579,C_1H_2O1
Sample_data[, -1],5.9741722,209.0819552,203.107783,5.9741822,5.9741622,C_2H_2O2
Sample_data[, -1],4.03130090000002,209.0819552,205.0506543,4.03131090000002,4.03129090000002,H4
Sample_data[, -1],3.99491950000001,209.0819552,205.0870357,3.99492950000001,3.99490950000001,C_1O1
Sample_data[, -1],2.0520434,209.0819552,207.0299118,2.0520534,2.0520334,CH6O_1
Sample_data[, -1],2.0156509,209.0819552,207.0663043,2.0156609,2.0156409,H2
Sample_data[, -1],1.97926330000001,209.0819552,207.1026919,1.97927330000001,1.97925330000001,C_1H_2O1
Sample_data[, -1],0.0363830000000007,209.0819552,209.0455722,0.0363930000000007,0.0363730000000007,CH4_O
Sample_data[, -1],3.02347140000001,210.0533832,207.0299118,3.02348140000001,3.02346140000001,H3
Sample_data[, -1],6.010561,211.0248334,205.0142724,6.010571,6.010551,C_1H2O
Sample_data[, -1],5.97417910000001,211.0248334,205.0506543,5.97418910000001,5.97416910000002,C_2H_2O2
Sample_data[, -1],3.9949216,211.0248334,207.0299118,3.9949316,3.9949116,C_1O1
Sample_data[, -1],1.9792612,211.0248334,209.0455722,1.9792712,1.9792512,C_1H_2O1
Sample_data[, -1],6.04694559999999,211.061218,205.0142724,6.04695559999999,6.04693559999999,H6
Sample_data[, -1],6.01056370000001,211.061218,205.0506543,6.01057370000001,6.01055370000001,C_1H2O
Sample_data[, -1],5.9741823,211.061218,205.0870357,5.9741923,5.9741723,C_2H_2O2
Sample_data[, -1],4.03130619999999,211.061218,207.0299118,4.03131619999999,4.03129619999999,H4
Sample_data[, -1],3.99491369999998,211.061218,207.0663043,3.99492369999998,3.99490369999998,C_1O1
Sample_data[, -1],2.01564579999999,211.061218,209.0455722,2.01565579999999,2.01563579999999,H2
Sample_data[, -1],1.97926279999999,211.061218,209.0819552,1.97927279999999,1.97925279999999,C_1H_2O1
Sample_data[, -1],1.00783479999998,211.061218,210.0533832,1.00784479999998,1.00782479999998,H1
Sample_data[, -1],0.036384599999991,211.061218,211.0248334,0.036394599999991,0.036374599999991,CH4_O
Sample_data[, -1],1.007825,211.0794132,210.0715882,1.007835,1.007815,H1
