SampleID,Site,Treatment,HeadSpace_Ht_cm,soil_pH_water_airdried,DryMass_SoilOnly_g,DryMass_NONsoil_ALL_g,VolumeSoil_cm3,rownum,TREATMENT_PHASE,sequence_valve,Picarro_start,Picarro_stop,Total_core_mass_pot_pie_pans_g,Additional_Wt_toRemove,picarro_records
C14,CPCRW,sat_II,1.5,NA,233.1,151.38,235.09,244,SATURATION_INCUBATION,1,2016-10-15T17:37:00Z,2016-10-15T20:30:00Z,587.58,NA,30
C15,CPCRW,sat_II,5,4.77,156.34,112.97,94.48,245,SATURATION_INCUBATION,15,2016-10-15T17:37:00Z,2016-10-15T20:30:00Z,464.49,NA,30
C16,CPCRW,field_moist,0,4.89,213.67,124.03,318.5,246,FIELD_MOIST_INCUBATION,4,2016-10-15T17:37:00Z,2016-10-15T20:30:00Z,414.27,NA,30
C17,CPCRW,field_moist,3,4.99,209.99,129.62,174.69,247,FIELD_MOIST_INCUBATION,3,2016-10-15T17:37:00Z,2016-10-15T20:30:00Z,397.46,NA,30
C18,CPCRW,field_moist,0,4.9,168.51,143.44,312.5,248,FIELD_MOIST_INCUBATION,5,2016-10-15T17:37:00Z,2016-10-15T20:30:00Z,387.01,NA,30
C19,CPCRW,field_moist,0,5.22,320.73,109.36,327.5,249,FIELD_MOIST_INCUBATION,13,2016-10-15T17:37:00Z,2016-10-15T20:30:00Z,530.34,NA,30
C20,CPCRW,field_moist,0,4.96,278.9,150.95,302.5,250,FIELD_MOIST_INCUBATION,6,2016-10-15T17:37:00Z,2016-10-15T20:30:00Z,518.83,NA,30
C16,CPCRW,field_moist,0,4.89,213.67,124.03,318.5,252,FIELD_MOIST_INCUBATION,2,2016-10-18T17:03:00Z,2016-10-18T23:05:00Z,416.54,NA,54
C17,CPCRW,field_moist,3,4.99,209.99,129.62,174.69,253,FIELD_MOIST_INCUBATION,3,2016-10-18T17:03:00Z,2016-10-18T23:05:00Z,403.22,NA,54
C18,CPCRW,field_moist,0,4.9,168.51,143.44,312.5,254,FIELD_MOIST_INCUBATION,4,2016-10-18T17:03:00Z,2016-10-18T23:05:00Z,388.55,NA,54
C19,CPCRW,field_moist,0,5.22,320.73,109.36,327.5,255,FIELD_MOIST_INCUBATION,5,2016-10-18T17:03:00Z,2016-10-18T23:05:00Z,532.25,NA,54
