SampleID,Site,Treatment,HeadSpace_Ht_cm,soil_pH_water_airdried,DryMass_SoilOnly_g,DryMass_NONsoil_ALL_g,VolumeSoil_cm3,rownum,TREATMENT_PHASE,sequence_valve,Picarro_start,Picarro_stop,Total_core_mass_pot_pie_pans_g,Additional_Wt_toRemove,picarro_records
C24,CPCRW,drought,0.5,5.05,198.71,125.4,289.7,433,DROUGHT_INCUBATION,8,2016-11-08T17:06:00Z,2016-11-09T00:05:00Z,323.49,NA,90
C25,CPCRW,drought,0.5,4.7,232.3,114.34,299.7,488,DROUGHT_INCUBATION,15,2016-11-08T17:06:00Z,2016-11-09T00:05:00Z,NA,NA,90
C21,CPCRW,drought,0.5,5.09,225.9,261.43,243.7,358,DROUGHT_INCUBATION,15,2016-11-10T18:06:00Z,2016-11-11T00:05:00Z,357.14,NA,89
C11,CPCRW,sat_II,3,NA,150.55,249.76,206.69,363,SATURATION_INCUBATION,12,2016-11-10T18:06:00Z,2016-11-11T00:05:00Z,555.76,NA,89
C12,CPCRW,sat_II,3,NA,232.06,137.83,171.69,364,SATURATION_INCUBATION,8,2016-11-10T18:06:00Z,2016-11-11T00:05:00Z,519.81,NA,89
C13,CPCRW,sat_II,1,NA,138.96,296.76,186.9,365,SATURATION_INCUBATION,1,2016-11-10T18:06:00Z,2016-11-11T00:05:00Z,585.24,NA,89
C14,CPCRW,sat_II,1.5,NA,233.1,151.38,235.09,366,SATURATION_INCUBATION,5,2016-11-10T18:06:00Z,2016-11-11T00:05:00Z,581.13,NA,89
C15,CPCRW,sat_II,5,4.77,156.34,112.97,94.48,367,SATURATION_INCUBATION,3,2016-11-10T18:06:00Z,2016-11-11T00:05:00Z,485.49,NA,89
C16,CPCRW,field_moist,0,4.89,213.67,124.03,318.5,368,FIELD_MOIST_INCUBATION,6,2016-11-10T18:06:00Z,2016-11-11T00:05:00Z,419.29,NA,89
C17,CPCRW,field_moist,3,4.99,209.99,129.62,174.69,369,FIELD_MOIST_INCUBATION,4,2016-11-10T18:06:00Z,2016-11-11T00:05:00Z,413.48,NA,89
C18,CPCRW,field_moist,0,4.9,168.51,143.44,312.5,370,FIELD_MOIST_INCUBATION,11,2016-11-10T18:06:00Z,2016-11-11T00:05:00Z,391.32,NA,89
C19,CPCRW,field_moist,0,5.22,320.73,109.36,327.5,371,FIELD_MOIST_INCUBATION,14,2016-11-10T18:06:00Z,2016-11-11T00:05:00Z,534.2,NA,89
C20,CPCRW,field_moist,0,4.96,278.9,150.95,302.5,372,FIELD_MOIST_INCUBATION,2,2016-11-10T18:06:00Z,2016-11-11T00:05:00Z,523.05,NA,89
C22,CPCRW,drought,0.5,5.1,216.87,140.41,289.7,375,DROUGHT_INCUBATION,13,2016-11-10T18:06:00Z,2016-11-11T00:05:00Z,330.09,NA,89
C23,CPCRW,drought,0.5,5.67,214.95,116.61,300.7,407,DROUGHT_INCUBATION,9,2016-11-10T18:06:00Z,2016-11-11T00:05:00Z,323.96,NA,89
C24,CPCRW,drought,0.5,5.05,198.71,125.4,289.7,434,DROUGHT_INCUBATION,10,2016-11-10T18:06:00Z,2016-11-11T00:05:00Z,344.2,NA,89
C25,CPCRW,drought,0.5,4.7,232.3,114.34,299.7,506,DROUGHT_INCUBATION,7,2016-11-10T18:06:00Z,2016-11-11T00:05:00Z,NA,NA,89
C16,CPCRW,field_moist,0,4.89,213.67,124.03,318.5,378,FIELD_MOIST_SATURATION,1,2016-11-10T22:44:00Z,2016-11-11T07:05:00Z,566.41,10,90
C17,CPCRW,field_moist,3,4.99,209.99,129.62,174.69,379,FIELD_MOIST_SATURATION,12,2016-11-10T22:44:00Z,2016-11-11T07:05:00Z,481.45,10,90
C18,CPCRW,field_moist,0,4.9,168.51,143.44,312.5,380,FIELD_MOIST_SATURATION,14,2016-11-10T22:44:00Z,2016-11-11T07:05:00Z,522.85,10,90
C19,CPCRW,field_moist,0,5.22,320.73,109.36,327.5,381,FIELD_MOIST_SATURATION,10,2016-11-10T22:44:00Z,2016-11-11T07:05:00Z,617.92,10,90
C20,CPCRW,field_moist,0,4.96,278.9,150.95,302.5,382,FIELD_MOIST_SATURATION,9,2016-11-10T22:44:00Z,2016-11-11T07:05:00Z,616.14,10,90
S7,SR,sat_II,0,5.86,126.55,55.82,344.5,383,SATURATION_SATURATION,3,2016-11-10T22:44:00Z,2016-11-11T07:05:00Z,428.1,10,90
S3,SR,sat_II,0,6.07,125.17,55.38,343.5,384,SATURATION_SATURATION,11,2016-11-10T22:44:00Z,2016-11-11T07:05:00Z,427.83,10,90
S2,SR,sat_II,0.5,5.73,121.23,60.66,323.7,385,SATURATION_SATURATION,7,2016-11-10T22:44:00Z,2016-11-11T07:05:00Z,424.18,10,90
S24,SR,sat_II,1,6.14,127.41,58.87,300.9,386,SATURATION_SATURATION,13,2016-11-10T22:44:00Z,2016-11-11T07:05:00Z,435.13,10,90
S18,SR,sat_II,2,6.13,119.84,60.18,255.29,387,SATURATION_SATURATION,15,2016-11-10T22:44:00Z,2016-11-11T07:05:00Z,404.61,10,90
S21,SR,field_moist,0,5.95,96.55,59.1,343.5,388,FIELD_MOIST_INCUBATION,11,2016-11-11T20:12:00Z,2016-11-12T04:05:00Z,346.37,NA,5
S13,SR,field_moist,0,5.96,113.62,59.04,347.5,389,FIELD_MOIST_INCUBATION,3,2016-11-11T20:12:00Z,2016-11-12T04:05:00Z,398.97,NA,5
S19,SR,field_moist,0,6.38,107.7,60.12,345.5,390,FIELD_MOIST_INCUBATION,6,2016-11-11T20:12:00Z,2016-11-12T04:05:00Z,361.47,NA,5
S15,SR,field_moist,0,6.15,128.59,59.2,343.5,391,FIELD_MOIST_INCUBATION,15,2016-11-11T20:12:00Z,2016-11-12T04:05:00Z,417.39,NA,5
S1,SR,field_moist,1,6.03,111.5,63.01,294.9,392,FIELD_MOIST_INCUBATION,13,2016-11-11T20:12:00Z,2016-11-12T04:05:00Z,379.66,NA,5
C21,CPCRW,drought,0.5,5.09,225.9,261.43,243.7,359,DROUGHT_INCUBATION,15,2016-11-14T18:22:00Z,2016-11-15T02:05:00Z,330.05,NA,100
C22,CPCRW,drought,0.5,5.1,216.87,140.41,289.7,376,DROUGHT_INCUBATION,8,2016-11-14T18:22:00Z,2016-11-15T02:05:00Z,324.3,NA,100
S15,SR,field_moist,0,6.15,128.59,59.2,343.5,394,FIELD_MOIST_INCUBATION,9,2016-11-14T18:22:00Z,2016-11-15T02:05:00Z,413.94,NA,100
S21,SR,field_moist,0,5.95,96.55,59.1,343.5,395,FIELD_MOIST_INCUBATION,14,2016-11-14T18:22:00Z,2016-11-15T02:05:00Z,343.06,NA,100
S13,SR,field_moist,0,5.96,113.62,59.04,347.5,396,FIELD_MOIST_INCUBATION,7,2016-11-14T18:22:00Z,2016-11-15T02:05:00Z,398.25,NA,100
S18,SR,sat_II,2,6.13,119.84,60.18,255.29,397,SATURATION_INCUBATION,13,2016-11-14T18:22:00Z,2016-11-15T02:05:00Z,431.56,NA,100
S24,SR,sat_II,1,6.14,127.41,58.87,300.9,398,SATURATION_INCUBATION,12,2016-11-14T18:22:00Z,2016-11-15T02:05:00Z,451.76,NA,100
S7,SR,sat_II,0,5.86,126.55,55.82,344.5,399,SATURATION_INCUBATION,3,2016-11-14T18:22:00Z,2016-11-15T02:05:00Z,429.66,NA,100
S3,SR,sat_II,0,6.07,125.17,55.38,343.5,400,SATURATION_INCUBATION,11,2016-11-14T18:22:00Z,2016-11-15T02:05:00Z,461.22,NA,100
S2,SR,sat_II,0.5,5.73,121.23,60.66,323.7,401,SATURATION_INCUBATION,6,2016-11-14T18:22:00Z,2016-11-15T02:05:00Z,451.09,NA,100
S19,SR,field_moist,0,6.38,107.7,60.12,345.5,402,FIELD_MOIST_INCUBATION,1,2016-11-14T18:22:00Z,2016-11-15T02:05:00Z,358.83,NA,100
S1,SR,field_moist,1,6.03,111.5,63.01,294.9,403,FIELD_MOIST_INCUBATION,2,2016-11-14T18:22:00Z,2016-11-15T02:05:00Z,379.9,NA,100
C23,CPCRW,drought,0.5,5.67,214.95,116.61,300.7,408,DROUGHT_INCUBATION,5,2016-11-14T18:22:00Z,2016-11-15T02:05:00Z,344.57,NA,100
C24,CPCRW,drought,0.5,5.05,198.71,125.4,289.7,484,DROUGHT_INCUBATION,10,2016-11-14T18:22:00Z,2016-11-15T02:05:00Z,NA,NA,100
C25,CPCRW,drought,0.5,4.7,232.3,114.34,299.7,507,DROUGHT_INCUBATION,4,2016-11-14T18:22:00Z,2016-11-15T02:05:00Z,NA,NA,100
S23,SR,sat_I,0,6.03,125.05,59.96,344.5,409,IMMEDIATE_SATURATION,9,2016-11-14T23:41:00Z,2016-11-15T07:05:00Z,428.82,10,35
S17,SR,sat_I,0,6.31,111.72,65.22,343.5,410,IMMEDIATE_SATURATION,14,2016-11-14T23:41:00Z,2016-11-15T07:05:00Z,414.53,10,35
S16,SR,sat_I,0,6.08,82.09,56.43,346.5,411,IMMEDIATE_SATURATION,13,2016-11-14T23:41:00Z,2016-11-15T07:05:00Z,388.13,10,35
S11,SR,sat_I,0,5.88,127.17,59.76,346.5,412,IMMEDIATE_SATURATION,11,2016-11-14T23:41:00Z,2016-11-15T07:05:00Z,396.72,10,35
S9,SR,sat_I,0,5.98,139.39,61.42,342.5,413,IMMEDIATE_SATURATION,12,2016-11-14T23:41:00Z,2016-11-15T07:05:00Z,449.4,10,35
S7,SR,sat_II,0,5.86,126.55,55.82,344.5,414,SATURATION_INCUBATION,10,2016-11-17T18:35:00Z,2016-11-18T00:55:00Z,428.39,NA,73
S3,SR,sat_II,0,6.07,125.17,55.38,343.5,415,SATURATION_INCUBATION,11,2016-11-17T18:35:00Z,2016-11-18T00:55:00Z,447.13,NA,73
S2,SR,sat_II,0.5,5.73,121.23,60.66,323.7,416,SATURATION_INCUBATION,12,2016-11-17T18:35:00Z,2016-11-18T00:55:00Z,427.29,NA,73
S24,SR,sat_II,1,6.14,127.41,58.87,300.9,417,SATURATION_INCUBATION,13,2016-11-17T18:35:00Z,2016-11-18T00:55:00Z,416.24,NA,73
S18,SR,sat_II,2,6.13,119.84,60.18,255.29,418,SATURATION_INCUBATION,1,2016-11-17T18:35:00Z,2016-11-18T00:55:00Z,428.26,NA,73
S15,SR,field_moist,0,6.15,128.59,59.2,343.5,419,FIELD_MOIST_INCUBATION,15,2016-11-17T18:35:00Z,2016-11-18T00:55:00Z,413.01,NA,73
S21,SR,field_moist,0,5.95,96.55,59.1,343.5,420,FIELD_MOIST_INCUBATION,2,2016-11-17T18:35:00Z,2016-11-18T00:55:00Z,344.48,NA,73
S13,SR,field_moist,0,5.96,113.62,59.04,347.5,421,FIELD_MOIST_INCUBATION,4,2016-11-17T18:35:00Z,2016-11-18T00:55:00Z,390.75,NA,73
S19,SR,field_moist,0,6.38,107.7,60.12,345.5,422,FIELD_MOIST_INCUBATION,5,2016-11-17T18:35:00Z,2016-11-18T00:55:00Z,359.46,NA,73
S1,SR,field_moist,1,6.03,111.5,63.01,294.9,423,FIELD_MOIST_INCUBATION,6,2016-11-17T18:35:00Z,2016-11-18T00:55:00Z,381.38,NA,73
S4,SR,drought,0.5,5.89,154.08,7.28,322.7,424,DROUGHT_PRE_INCUBATION,3,2016-11-17T18:35:00Z,2016-11-18T00:55:00Z,422.52,NA,73
S5,SR,drought,1,6.02,128.77,6.68,301.9,425,DROUGHT_PRE_INCUBATION,9,2016-11-17T18:35:00Z,2016-11-18T00:55:00Z,389.99,NA,73
S10,SR,drought,1,5.94,118.06,9.68,298.9,426,DROUGHT_PRE_INCUBATION,8,2016-11-17T18:35:00Z,2016-11-18T00:55:00Z,357.57,NA,73
S14,SR,drought,0,5.93,150.39,7.38,346.5,427,DROUGHT_PRE_INCUBATION,7,2016-11-17T18:35:00Z,2016-11-18T00:55:00Z,415.35,NA,73
S25,SR,drought,0,5.82,146.15,10.18,342.5,428,DROUGHT_PRE_INCUBATION,14,2016-11-17T18:35:00Z,2016-11-18T00:55:00Z,416.03,NA,73
C21,CPCRW,drought,0.5,5.09,225.9,261.43,243.7,360,DROUGHT_INCUBATION,14,2016-11-17T20:50:00Z,2016-11-18T07:05:00Z,324.75,NA,84
C22,CPCRW,drought,0.5,5.1,216.87,140.41,289.7,377,DROUGHT_INCUBATION,9,2016-11-17T20:50:00Z,2016-11-18T07:05:00Z,344.62,NA,84
C23,CPCRW,drought,0.5,5.67,214.95,116.61,300.7,430,DROUGHT_INCUBATION,3,2016-11-17T20:50:00Z,2016-11-18T07:05:00Z,487.93,NA,84
C24,CPCRW,drought,0.5,5.05,198.71,125.4,289.7,485,DROUGHT_INCUBATION,8,2016-11-17T20:50:00Z,2016-11-18T07:05:00Z,NA,NA,84
C25,CPCRW,drought,0.5,4.7,232.3,114.34,299.7,508,DROUGHT_INCUBATION,7,2016-11-17T20:50:00Z,2016-11-18T07:05:00Z,NA,NA,84
S7,SR,sat_II,0,5.86,126.55,55.82,344.5,436,SATURATION_INCUBATION,13,2016-11-22T19:41:00Z,2016-11-23T03:05:00Z,429.07,NA,58
S3,SR,sat_II,0,6.07,125.17,55.38,343.5,437,SATURATION_INCUBATION,9,2016-11-22T19:41:00Z,2016-11-23T03:05:00Z,444.19,NA,58
S2,SR,sat_II,0.5,5.73,121.23,60.66,323.7,438,SATURATION_INCUBATION,12,2016-11-22T19:41:00Z,2016-11-23T03:05:00Z,424.13,NA,58
S24,SR,sat_II,1,6.14,127.41,58.87,300.9,439,SATURATION_INCUBATION,15,2016-11-22T19:41:00Z,2016-11-23T03:05:00Z,415.68,NA,58
S18,SR,sat_II,2,6.13,119.84,60.18,255.29,440,SATURATION_INCUBATION,11,2016-11-22T19:41:00Z,2016-11-23T03:05:00Z,422.04,NA,58
S15,SR,field_moist,0,6.15,128.59,59.2,343.5,441,FIELD_MOIST_INCUBATION,10,2016-11-22T19:41:00Z,2016-11-23T03:05:00Z,411.24,NA,58
S21,SR,field_moist,0,5.95,96.55,59.1,343.5,442,FIELD_MOIST_INCUBATION,2,2016-11-22T19:41:00Z,2016-11-23T03:05:00Z,346.94,NA,58
S13,SR,field_moist,0,5.96,113.62,59.04,347.5,443,FIELD_MOIST_INCUBATION,14,2016-11-22T19:41:00Z,2016-11-23T03:05:00Z,394.26,NA,58
S19,SR,field_moist,0,6.38,107.7,60.12,345.5,444,FIELD_MOIST_INCUBATION,1,2016-11-22T19:41:00Z,2016-11-23T03:05:00Z,361.89,NA,58
S1,SR,field_moist,1,6.03,111.5,63.01,294.9,445,FIELD_MOIST_INCUBATION,5,2016-11-22T19:41:00Z,2016-11-23T03:05:00Z,379.95,NA,58
S4,SR,drought,0.5,5.89,154.08,7.28,322.7,446,DROUGHT_PRE_INCUBATION,3,2016-11-22T19:41:00Z,2016-11-23T03:05:00Z,412.6,NA,58
S5,SR,drought,1,6.02,128.77,6.68,301.9,447,DROUGHT_PRE_INCUBATION,4,2016-11-22T19:41:00Z,2016-11-23T03:05:00Z,386.78,NA,58
S10,SR,drought,1,5.94,118.06,9.68,298.9,448,DROUGHT_PRE_INCUBATION,8,2016-11-22T19:41:00Z,2016-11-23T03:05:00Z,352.15,NA,58
S14,SR,drought,0,5.93,150.39,7.38,346.5,449,DROUGHT_PRE_INCUBATION,7,2016-11-22T19:41:00Z,2016-11-23T03:05:00Z,408.72,NA,58
S25,SR,drought,0,5.82,146.15,10.18,342.5,450,DROUGHT_PRE_INCUBATION,9,2016-11-22T19:41:00Z,2016-11-23T03:05:00Z,406.56,NA,58
S10,SR,drought,1,5.94,118.06,9.68,298.9,452,DROUGHT_PRE_INCUBATION,2,2016-11-25T20:43:00Z,2016-11-26T03:05:00Z,347.44,NA,45
S14,SR,drought,0,5.93,150.39,7.38,346.5,453,DROUGHT_PRE_INCUBATION,1,2016-11-25T20:43:00Z,2016-11-26T03:05:00Z,403.44,NA,45
S25,SR,drought,0,5.82,146.15,10.18,342.5,454,DROUGHT_PRE_INCUBATION,6,2016-11-25T20:43:00Z,2016-11-26T03:05:00Z,NA,NA,45
S5,SR,drought,1,6.02,128.77,6.68,301.9,455,DROUGHT_PRE_INCUBATION,4,2016-11-25T20:43:00Z,2016-11-26T03:05:00Z,383.8,NA,45
S4,SR,drought,0.5,5.89,154.08,7.28,322.7,456,DROUGHT_PRE_INCUBATION,7,2016-11-25T20:43:00Z,2016-11-26T03:05:00Z,405.11,NA,45
S15,SR,field_moist,0,6.15,128.59,59.2,343.5,457,FIELD_MOIST_INCUBATION,11,2016-11-25T20:43:00Z,2016-11-26T03:05:00Z,347.44,NA,45
S21,SR,field_moist,0,5.95,96.55,59.1,343.5,458,FIELD_MOIST_INCUBATION,9,2016-11-25T20:43:00Z,2016-11-26T03:05:00Z,403.44,NA,45
S13,SR,field_moist,0,5.96,113.62,59.04,347.5,459,FIELD_MOIST_INCUBATION,3,2016-11-25T20:43:00Z,2016-11-26T03:05:00Z,NA,NA,45
S19,SR,field_moist,0,6.38,107.7,60.12,345.5,460,FIELD_MOIST_INCUBATION,14,2016-11-25T20:43:00Z,2016-11-26T03:05:00Z,383.8,NA,45
S1,SR,field_moist,1,6.03,111.5,63.01,294.9,461,FIELD_MOIST_INCUBATION,10,2016-11-25T20:43:00Z,2016-11-26T03:05:00Z,405.11,NA,45
S7,SR,sat_II,0,5.86,126.55,55.82,344.5,462,SATURATION_INCUBATION,15,2016-11-25T20:43:00Z,2016-11-26T03:05:00Z,440.56,NA,45
S3,SR,sat_II,0,6.07,125.17,55.38,343.5,463,SATURATION_INCUBATION,13,2016-11-25T20:43:00Z,2016-11-26T03:05:00Z,449.3,NA,45
S2,SR,sat_II,0.5,5.73,121.23,60.66,323.7,464,SATURATION_INCUBATION,12,2016-11-25T20:43:00Z,2016-11-26T03:05:00Z,436.45,NA,45
S24,SR,sat_II,1,6.14,127.41,58.87,300.9,465,SATURATION_INCUBATION,5,2016-11-25T20:43:00Z,2016-11-26T03:05:00Z,417.98,NA,45
S18,SR,sat_II,2,6.13,119.84,60.18,255.29,466,SATURATION_INCUBATION,8,2016-11-25T20:43:00Z,2016-11-26T03:05:00Z,419,NA,45
S7,SR,sat_II,0,5.86,126.55,55.82,344.5,468,SATURATION_INCUBATION,8,2016-11-29T18:07:00Z,2016-11-29T23:05:00Z,441.23,NA,62
S3,SR,sat_II,0,6.07,125.17,55.38,343.5,469,SATURATION_INCUBATION,2,2016-11-29T18:07:00Z,2016-11-29T23:05:00Z,450.05,NA,62
S2,SR,sat_II,0.5,5.73,121.23,60.66,323.7,470,SATURATION_INCUBATION,9,2016-11-29T18:07:00Z,2016-11-29T23:05:00Z,427.71,NA,62
S24,SR,sat_II,1,6.14,127.41,58.87,300.9,471,SATURATION_INCUBATION,12,2016-11-29T18:07:00Z,2016-11-29T23:05:00Z,419.05,NA,62
S18,SR,sat_II,2,6.13,119.84,60.18,255.29,472,SATURATION_INCUBATION,15,2016-11-29T18:07:00Z,2016-11-29T23:05:00Z,418.55,NA,62
S15,SR,field_moist,0,6.15,128.59,59.2,343.5,473,FIELD_MOIST_INCUBATION,3,2016-11-29T18:07:00Z,2016-11-29T23:05:00Z,413.53,NA,62
S21,SR,field_moist,0,5.95,96.55,59.1,343.5,474,FIELD_MOIST_INCUBATION,5,2016-11-29T18:07:00Z,2016-11-29T23:05:00Z,345.37,NA,62
S13,SR,field_moist,0,5.96,113.62,59.04,347.5,475,FIELD_MOIST_INCUBATION,1,2016-11-29T18:07:00Z,2016-11-29T23:05:00Z,395.12,NA,62
S19,SR,field_moist,0,6.38,107.7,60.12,345.5,476,FIELD_MOIST_INCUBATION,11,2016-11-29T18:07:00Z,2016-11-29T23:05:00Z,361.29,NA,62
S1,SR,field_moist,1,6.03,111.5,63.01,294.9,477,FIELD_MOIST_INCUBATION,7,2016-11-29T18:07:00Z,2016-11-29T23:05:00Z,380.66,NA,62
S4,SR,drought,0.5,5.89,154.08,7.28,322.7,478,DROUGHT_PRE_INCUBATION,14,2016-11-29T18:07:00Z,2016-11-29T23:05:00Z,397.07,NA,62
S5,SR,drought,1,6.02,128.77,6.68,301.9,479,DROUGHT_PRE_INCUBATION,4,2016-11-29T18:07:00Z,2016-11-29T23:05:00Z,380.24,NA,62
S10,SR,drought,1,5.94,118.06,9.68,298.9,480,DROUGHT_PRE_INCUBATION,13,2016-11-29T18:07:00Z,2016-11-29T23:05:00Z,341.77,NA,62
S14,SR,drought,0,5.93,150.39,7.38,346.5,481,DROUGHT_PRE_INCUBATION,10,2016-11-29T18:07:00Z,2016-11-29T23:05:00Z,396.77,NA,62
S25,SR,drought,0,5.82,146.15,10.18,342.5,482,DROUGHT_PRE_INCUBATION,6,2016-11-29T18:07:00Z,2016-11-29T23:05:00Z,394.48,NA,62
C21,CPCRW,drought,0.5,5.09,225.9,261.43,243.7,361,DROUGHT_INCUBATION,NA,2016-11-29T21:16:00Z,2016-11-30T04:05:00Z,344.57,NA,17
C22,CPCRW,drought,0.5,5.1,216.87,140.41,289.7,404,DROUGHT_INCUBATION,NA,2016-11-29T21:16:00Z,2016-11-30T04:05:00Z,488.44,NA,17
C23,CPCRW,drought,0.5,5.67,214.95,116.61,300.7,431,DROUGHT_INCUBATION,NA,2016-11-29T21:16:00Z,2016-11-30T04:05:00Z,355.38,NA,17
C24,CPCRW,drought,0.5,5.05,198.71,125.4,289.7,486,DROUGHT_INCUBATION,NA,2016-11-29T21:16:00Z,2016-11-30T04:05:00Z,NA,NA,17
C25,CPCRW,drought,0.5,4.7,232.3,114.34,299.7,509,DROUGHT_INCUBATION,NA,2016-11-29T21:16:00Z,2016-11-30T04:05:00Z,NA,NA,17
S7,SR,sat_II,0,5.86,126.55,55.82,344.5,490,SATURATION_INCUBATION,3,2016-12-02T21:36:00Z,2016-12-03T04:05:00Z,444.45,NA,83
S3,SR,sat_II,0,6.07,125.17,55.38,343.5,491,SATURATION_INCUBATION,6,2016-12-02T21:36:00Z,2016-12-03T04:05:00Z,454.78,NA,83
S2,SR,sat_II,0.5,5.73,121.23,60.66,323.7,492,SATURATION_INCUBATION,11,2016-12-02T21:36:00Z,2016-12-03T04:05:00Z,430.83,NA,83
S24,SR,sat_II,1,6.14,127.41,58.87,300.9,493,SATURATION_INCUBATION,5,2016-12-02T21:36:00Z,2016-12-03T04:05:00Z,417.16,NA,83
S18,SR,sat_II,2,6.13,119.84,60.18,255.29,494,SATURATION_INCUBATION,7,2016-12-02T21:36:00Z,2016-12-03T04:05:00Z,419.58,NA,83
S15,SR,field_moist,0,6.15,128.59,59.2,343.5,495,FIELD_MOIST_INCUBATION,14,2016-12-02T21:36:00Z,2016-12-03T04:05:00Z,417.35,NA,83
S21,SR,field_moist,0,5.95,96.55,59.1,343.5,496,FIELD_MOIST_INCUBATION,13,2016-12-02T21:36:00Z,2016-12-03T04:05:00Z,346.09,NA,83
S13,SR,field_moist,0,5.96,113.62,59.04,347.5,497,FIELD_MOIST_INCUBATION,9,2016-12-02T21:36:00Z,2016-12-03T04:05:00Z,394.96,NA,83
S19,SR,field_moist,0,6.38,107.7,60.12,345.5,498,FIELD_MOIST_INCUBATION,8,2016-12-02T21:36:00Z,2016-12-03T04:05:00Z,359.27,NA,83
S1,SR,field_moist,1,6.03,111.5,63.01,294.9,499,FIELD_MOIST_INCUBATION,12,2016-12-02T21:36:00Z,2016-12-03T04:05:00Z,379.55,NA,83
S4,SR,drought,0.5,5.89,154.08,7.28,322.7,500,DROUGHT_PRE_INCUBATION,10,2016-12-02T21:36:00Z,2016-12-03T04:05:00Z,387.88,NA,83
S5,SR,drought,1,6.02,128.77,6.68,301.9,501,DROUGHT_PRE_INCUBATION,1,2016-12-02T21:36:00Z,2016-12-03T04:05:00Z,375.9,NA,83
S10,SR,drought,1,5.94,118.06,9.68,298.9,502,DROUGHT_PRE_INCUBATION,15,2016-12-02T21:36:00Z,2016-12-03T04:05:00Z,335.24,NA,83
S14,SR,drought,0,5.93,150.39,7.38,346.5,503,DROUGHT_PRE_INCUBATION,2,2016-12-02T21:36:00Z,2016-12-03T04:05:00Z,388.75,NA,83
S25,SR,drought,0,5.82,146.15,10.18,342.5,504,DROUGHT_PRE_INCUBATION,4,2016-12-02T21:36:00Z,2016-12-03T04:05:00Z,385.11,NA,83
C21,CPCRW,drought,0.5,5.09,225.9,261.43,243.7,373,DROUGHT_INCUBATION,7,2016-12-03T01:31:00Z,2016-12-03T07:05:00Z,489.01,NA,55
C22,CPCRW,drought,0.5,5.1,216.87,140.41,289.7,405,DROUGHT_INCUBATION,5,2016-12-03T01:31:00Z,2016-12-03T07:05:00Z,355.83,NA,55
C23,CPCRW,drought,0.5,5.67,214.95,116.61,300.7,432,DROUGHT_INCUBATION,2,2016-12-03T01:31:00Z,2016-12-03T07:05:00Z,327.51,NA,55
C24,CPCRW,drought,0.5,5.05,198.71,125.4,289.7,487,DROUGHT_INCUBATION,13,2016-12-03T01:31:00Z,2016-12-03T07:05:00Z,NA,NA,55
C25,CPCRW,drought,0.5,4.7,232.3,114.34,299.7,510,DROUGHT_INCUBATION,14,2016-12-03T01:31:00Z,2016-12-03T07:05:00Z,343.61,NA,55
C21,CPCRW,drought,0.5,5.09,225.9,261.43,243.7,512,DROUGHT_SATURATION,11,2016-12-04T17:02:00Z,2016-12-04T23:05:00Z,656.85,10,62
C22,CPCRW,drought,0.5,5.1,216.87,140.41,289.7,513,DROUGHT_SATURATION,14,2016-12-04T17:02:00Z,2016-12-04T23:05:00Z,520.22,10,62
C23,CPCRW,drought,0.5,5.67,214.95,116.61,300.7,514,DROUGHT_SATURATION,4,2016-12-04T17:02:00Z,2016-12-04T23:05:00Z,502.1,10,62
C24,CPCRW,drought,0.5,5.05,198.71,125.4,289.7,515,DROUGHT_SATURATION,7,2016-12-04T17:02:00Z,2016-12-04T23:05:00Z,500.33,10,62
C25,CPCRW,drought,0.5,4.7,232.3,114.34,299.7,516,DROUGHT_SATURATION,3,2016-12-04T17:02:00Z,2016-12-04T23:05:00Z,495.68,10,62
S7,SR,sat_II,0,5.86,126.55,55.82,344.5,518,SATURATION_INCUBATION,3,2016-12-06T19:25:00Z,2016-12-07T02:05:00Z,NA,NA,58
S3,SR,sat_II,0,6.07,125.17,55.38,343.5,519,SATURATION_INCUBATION,7,2016-12-06T19:25:00Z,2016-12-07T02:05:00Z,NA,NA,58
S2,SR,sat_II,0.5,5.73,121.23,60.66,323.7,520,SATURATION_INCUBATION,12,2016-12-06T19:25:00Z,2016-12-07T02:05:00Z,NA,NA,58
S24,SR,sat_II,1,6.14,127.41,58.87,300.9,521,SATURATION_INCUBATION,5,2016-12-06T19:25:00Z,2016-12-07T02:05:00Z,NA,NA,58
S18,SR,sat_II,2,6.13,119.84,60.18,255.29,522,SATURATION_INCUBATION,1,2016-12-06T19:25:00Z,2016-12-07T02:05:00Z,NA,NA,58
S15,SR,field_moist,0,6.15,128.59,59.2,343.5,523,FIELD_MOIST_INCUBATION,11,2016-12-06T19:25:00Z,2016-12-07T02:05:00Z,NA,NA,58
S21,SR,field_moist,0,5.95,96.55,59.1,343.5,524,FIELD_MOIST_INCUBATION,14,2016-12-06T19:25:00Z,2016-12-07T02:05:00Z,NA,NA,58
S13,SR,field_moist,0,5.96,113.62,59.04,347.5,525,FIELD_MOIST_INCUBATION,15,2016-12-06T19:25:00Z,2016-12-07T02:05:00Z,NA,NA,58
S19,SR,field_moist,0,6.38,107.7,60.12,345.5,526,FIELD_MOIST_INCUBATION,10,2016-12-06T19:25:00Z,2016-12-07T02:05:00Z,NA,NA,58
S1,SR,field_moist,1,6.03,111.5,63.01,294.9,527,FIELD_MOIST_INCUBATION,2,2016-12-06T19:25:00Z,2016-12-07T02:05:00Z,NA,NA,58
