Site,Core,Treatment,SampleID,tin,tin+wet_weight,tin+dry_weight,Soil_θgrav,core.headspace_cm,SoilHeight_cm,CoreVolume(incl.Rocks.Roots),Empty_CylinderVol_ml,CylinderVol_incl.rocks,Volume_Roots.Rocks_cm3,VolumeSoil_cm3,Soil_θvol,Bdsoil (g cm-3),Porosity (%),EMPTY_litter_weighboat,WET_litter_weighboat,WET_litter_weight_g,Total_non_soil_wet_g,DRY_litter_weighboat,NonSoil_θgrav,NonSoil_dry_wt. Equiv._g,CoreMassCore_mass_w_liner_w_caps_prior_to_processing_g,Core_empty_liner_plus_end_caps_g,WeightSoilCore_withoutLinerCapsEtc,WetWeightSoilOnly,DryWeightSoilONLY
CPCRW,6,Sat_I,C6,1.09,11.41,9.13,0.284,1,6.62,301.896316,250,345,95,206.896316,0.257752932,0.91,34.17,5.15,239.75,234.6,286.3,218.65,0.1,213.9532436,527.68,51.7,475.98,241.38,188.05
CPCRW,7,Sat_I,C7,1.095,10.93,9.08,0.232,0,7.62,347.4999892,250,275,25,322.4999892,0.264354531,1.14,42.9,10.13,62.83,52.7,104.1,57.3,0.1,48.06152579,557.33,51.4,505.93,453.23,367.98
CPCRW,8,Sat_I,C8,1.05,9.94,8.18,0.247,2,5.62,256.2926429,250,278,28,228.2926429,0.275770917,1.12,42,0,60.09,60.09,107.89,54.8,0.1,54.8,425.89,47.8,378.09,318,255.05
CPCRW,9,Sat_I,C9,1.05,10.6,8.67,0.253,2,5.62,256.2926429,250,310,60,196.2926429,0.22358944,0.88,33.19,6.61,162.59,155.98,208.38,148.28,0.1,142.251736,425.55,52.4,373.15,217.17,173.28
CPCRW,10,Sat_I,C10,1.05,10.72,8.98,0.219,1,6.62,301.896316,250,284,34,267.896316,0.23358534,1.06,40.02,10,88.99,78.99,125.69,81.16,0.1,72.04008469,473.46,46.7,426.76,347.77,285.19
CPCRW,11,Sat_II,C11,1.04,12.17,9.5,0.316,3,4.62,210.6889698,250,254,4,206.6889698,0.229877027,0.73,27.38,5.89,207.54,201.65,253.45,197.4,0.05,191.51,451.51,51.8,399.71,198.06,150.55
CPCRW,12,Sat_II,C12,1.06,12.06,9.4,0.319,3,4.62,210.6889698,256,295,39,171.6889698,0.319299381,1,37.64,8.82,98.6,89.78,141.68,88.3,0.13,79.48,368.38,51.9,316.48,226.7,171.88
CPCRW,13,Sat_II,C13,1.07,10.18,7.98,0.319,1,6.62,301.896316,250,365,115,186.896316,0.237423124,0.74,27.95,5.79,259.45,253.66,305.16,244.6,0.06,238.81,488.49,51.5,436.99,183.33,138.96
CPCRW,14,Sat_II,C14,1.05,12.39,9.57,0.33,1.5,6.12,279.0944795,250,294,44,235.0944795,0.327600246,0.99,37.28,5.77,106.72,100.95,153.25,98.4,0.09,92.63,463.37,52.3,411.07,310.12,233.1
CPCRW,15,Sat_II,C15,1.07,12.43,9.41,0.362,5,2.62,119.4816236,250,275,25,94.48162357,0.599182207,1.65,62.21,5.78,69.32,63.54,115.84,60,0.17,54.22,328.79,52.3,276.49,212.95,156.34
CPCRW,16,Field_Moist,C16,1.06,7.05,5.76,0.274,0,7.62,347.4999892,250,279,29,318.4999892,0.184133583,0.67,25.22,5.82,80.75,74.93,126.03,72.3,0.13,66.48,398.35,51.1,347.25,272.32,213.67
CPCRW,17,Field_Moist,C17,1.06,10.71,8.93,0.226,3,4.62,210.6889698,250,286,36,174.6889698,0.271886455,1.2,45.19,5.83,83.21,77.38,128.58,77.8,0.08,71.97,386.07,51.2,334.87,257.49,209.99
CPCRW,18,Field_Moist,C18,1.055,10.02,7.76,0.337,0,7.62,347.4999892,250,285,35,312.4999892,0.181755937,0.54,20.27,5.81,104.4,98.59,146.19,95.2,0.1,89.39,371.5,47.6,323.9,225.31,168.51
CPCRW,19,Field_Moist,C19,1.07,10.46,8.44,0.274,0,7.62,347.4999892,250,270,20,327.4999892,0.268420303,0.98,36.82,5.84,64.73,58.89,106.59,61.05,0.07,55.21,515.23,47.7,467.53,408.64,320.73
CPCRW,20,Field_Moist,C20,1.06,11.19,9.13,0.255,0,7.62,347.4999892,250,295,45,302.4999892,0.235355592,0.92,34.66,5.85,108.13,102.28,153.48,99.15,0.1,93.3,503.58,51.2,452.38,350.1,278.9
CPCRW,21,Drought,C21,1.08,10.2,8.65,0.205,0.5,7.12,324.6981526,500,581,81,243.6981526,0.189798581,0.93,34.85,11.57,225.05,213.48,264.48,215.55,0.05,203.98,536.63,51,485.63,272.15,225.9
CPCRW,22,Drought,C22,1.08,10.54,8.67,0.246,0.5,7.12,324.6981526,250,285,35,289.6981526,0.184438164,0.75,28.14,5.74,94.05,88.31,140.01,88,0.07,82.26,410.31,51.7,358.61,270.3,216.87
CPCRW,23,Drought,C23,1.08,10.05,7.99,0.298,0.5,7.12,324.6981526,250,274,24,300.6981526,0.213105627,0.71,26.87,5.74,72.03,66.29,117.89,64.3,0.13,58.56,396.92,51.6,345.32,279.03,214.95
CPCRW,24,Drought,C24,1.07,10.46,8.4,0.281,0.5,7.12,324.6981526,250,285,35,289.6981526,0.192772937,0.69,25.79,5.85,80.93,75.08,126.48,73.4,0.11,67.55,381.04,51.4,329.64,254.56,198.71
CPCRW,25,Drought,C25,1.06,10.89,8.96,0.244,0.5,7.12,324.6981526,250,275,25,299.6981526,0.189361942,0.78,29.14,5.71,66.25,60.54,113.34,60.8,0.1,55.09,402.39,52.8,349.59,289.05,232.3
DWP,6,Sat_I,D6,1.07,10.99,10.08,0.101,0,7.62,347.4999892,250,264,14,333.4999892,0.134616366,1.33,50.11,9.5,36.1,26.6,80.3,28.2,0.42,18.7,569.7,53.7,516,489.4,444.51
DWP,7,Sat_I,D7,1.05,11.29,10.35,0.101,0,7.62,347.4999892,250,265,15,332.4999892,0.154163539,1.53,57.34,9.4,33.7,24.3,77.8,27.2,0.37,17.8,636.2,53.5,582.7,558.4,507.14
DWP,8,Sat_I,D8,1.055,13.18,12.15,0.093,0.5,7.12,324.6981526,250,257,7,317.6981526,0.129201547,1.39,52.32,8.4,18.7,10.3,62.9,16.4,0.29,8,546.1,52.6,493.5,483.2,442.15
